"gene","covid_log2FC","covid_padj","covid_direction","virus_log2FC","virus_padj","virus_direction","shared_direction"
"GPRC5C",-1.33903500000938,0.000100491406836575,"Down",-3.4870601787538,1.99661147340031e-05,"Down","Shared Down"
"ARHGAP23",-1.07825192655803,0.000101628492470373,"Down",-3.04860771025127,1.71858335654257e-05,"Down","Shared Down"
"LINC00116",-1.74822164236849,0.000107829213345173,"Down",-3.93243629879677,0.000231968831367258,"Down","Shared Down"
"ATOH7",-3.41530452800427,0.000113304397676747,"Down",-4.00165642296962,0.0218463311027438,"Down","Shared Down"
"DFNB31",-1.67323970770194,0.000114086182811855,"Down",-1.51453086530574,0.0471939768270115,"Down","Shared Down"
"RRAD",-2.33306609395372,0.000116072551203564,"Down",-3.37703241653864,7.89353668471765e-05,"Down","Shared Down"
"UNC5B",-1.57591898907628,0.000116840874537967,"Down",-3.47839656200239,1.10952055177049e-06,"Down","Shared Down"
"JMJD8",-1.50431829923174,0.000127182835152517,"Down",-2.67547905459378,0.00356613722428269,"Down","Shared Down"
"DLGAP3",-2.52651128931708,0.000127881812795268,"Down",-3.92537471059825,0.000287006254227918,"Down","Shared Down"
"C12orf10",-1.63595908007041,0.000129200501772645,"Down",-4.22818213936555,1.37753407713126e-07,"Down","Shared Down"
"MRTO4",-2.08190703844469,0.000129346738202235,"Down",-5.05649193883568,2.03999789244315e-07,"Down","Shared Down"
"MAP3K10",-1.52453186150506,0.000131216468517965,"Down",-2.64695744734209,0.00216011791446818,"Down","Shared Down"
"BMP1",-1.83503750146139,0.000132655438170445,"Down",-3.38541801367327,0.000675848868277994,"Down","Shared Down"
"CACFD1",-1.44997185692685,0.000144785688662252,"Down",-3.77401636794738,3.6192723600765e-06,"Down","Shared Down"
"ADRB1",-1.48109403314956,0.000150071720648895,"Down",-3.40292234206882,0.000110328728163395,"Down","Shared Down"
"COL18A1",-2.20681222154725,0.000151823419840602,"Down",-3.46025332364426,2.19732963762717e-05,"Down","Shared Down"
"OXTR",-2.05821436250979,0.000153974825520547,"Down",-4.43275283233358,1.37266941522323e-06,"Down","Shared Down"
"EIF6",-1.87680667845727,0.000162262659310469,"Down",-3.80691784845174,1.56992601964503e-06,"Down","Shared Down"
"PRMT6",-1.16115346277556,0.000165305217485351,"Down",-3.24914849811093,0.000158937097730664,"Down","Shared Down"
"SF3B5",-1.22015835131325,0.000165455783069851,"Down",-4.11552114508625,5.11350719936301e-07,"Down","Shared Down"
"SHANK3",-1.36278428312863,0.000166120313678537,"Down",-2.90054406463834,0.000283383171859392,"Down","Shared Down"
"FFAR4",-3.10626467531006,0.000168235121267722,"Down",-4.69177992189282,0.00046890031913017,"Down","Shared Down"
"GPR101",-2.50888635008983,0.000171458983400236,"Down",-4.8061345635092,1.97570902182332e-06,"Down","Shared Down"
"MRPL4",-1.20313242733168,0.0001777520853412,"Down",-3.48882412766559,1.86858826888486e-05,"Down","Shared Down"
"PYGO2",-1.17059288260348,0.000179835144620223,"Down",-3.22609052394773,0.000154121076364748,"Down","Shared Down"
"KRT5",-2.09017902668393,0.000183101548572845,"Down",-3.95110108335274,5.24056358972563e-06,"Down","Shared Down"
"TP53I13",-1.37191356569898,0.000183101548572845,"Down",-3.24976367879902,5.41330071054475e-06,"Down","Shared Down"
"NT5C3B",-1.64676954453758,0.000183903177702994,"Down",-3.62194013707361,0.000251902723333721,"Down","Shared Down"
"RNVU1_1",-2.64275101909881,0.000190705844451766,"Down",-5.99233743559298,1.82604279773886e-12,"Down","Shared Down"
"LAMTOR5",-1.19784195092861,0.000192721113634171,"Down",-3.66143539807395,1.08895657878986e-07,"Down","Shared Down"
"RNF7",-1.07639778057531,0.000193261625459377,"Down",-3.475771555019,7.0971099341526e-07,"Down","Shared Down"
"LINC01586",-2.93329215557927,0.000209631125736313,"Down",-4.77354805107664,0.000157858486576803,"Down","Shared Down"
"PAX8",-2.28837528345136,0.000210944508832668,"Down",-4.90193499574034,1.85515046745367e-06,"Down","Shared Down"
"MAPK12",-2.39136677521459,0.000211769168137551,"Down",-4.91197741996133,1.44441783658163e-05,"Down","Shared Down"
"AMN",-1.86256780508667,0.000215294984397262,"Down",-3.29047858131758,0.00224915517457971,"Down","Shared Down"
"FAM83E",-1.04341300755345,0.00021783249210244,"Down",-3.13341182355087,3.0843798667715e-06,"Down","Shared Down"
"LRRC75A",-2.17027916067176,0.00021918199668268,"Down",-3.84211186121571,0.000463587974592044,"Down","Shared Down"
"MIR4516",-2.75855335552061,0.000220772876395647,"Down",-4.97849912467299,9.65263643500328e-05,"Down","Shared Down"
"PWWP2B",-1.36106185725169,0.000224970020430841,"Down",-3.18828170721129,6.41084273913172e-05,"Down","Shared Down"
"PACSIN3",-1.12177506132853,0.00022631674527088,"Down",-3.05450331927527,5.16970323539396e-05,"Down","Shared Down"
"TMEM8A",-1.41149652351487,0.000231881834616287,"Down",-3.40598212250197,2.12035937144035e-08,"Down","Shared Down"
"EML3",-1.42220916618291,0.000252915138504685,"Down",-3.43119791875369,1.1810813554526e-07,"Down","Shared Down"
"LIME1",-1.34368732058622,0.000253005758456945,"Down",-3.28832549408073,5.90483678956061e-06,"Down","Shared Down"
"RNH1",-1.0917350405246,0.000253215734696279,"Down",-3.47765026077747,1.46143105485058e-08,"Down","Shared Down"
"DUS1L",-1.01010531228896,0.00025695336602994,"Down",-3.17491445867339,8.90706316536166e-07,"Down","Shared Down"
"TRIP6",-1.10595570370971,0.000258985610088767,"Down",-3.48280615067534,2.5420819933573e-07,"Down","Shared Down"
"ZNF408",-1.43568362151232,0.00026040573733365,"Down",-3.48940251880599,1.21724991132809e-05,"Down","Shared Down"
"SLC52A2",-1.30264364928521,0.000267891663619429,"Down",-3.12734426585567,8.05898436404442e-05,"Down","Shared Down"
"CMAS",-1.06490756213015,0.000275720308121023,"Down",-3.40086467225929,1.39870076153632e-05,"Down","Shared Down"
"MTG1",-1.08302489871408,0.000295677078338517,"Down",-3.1452279217023,3.35825817133833e-06,"Down","Shared Down"
"CDHR5",-1.64226159875321,0.000296571428124901,"Down",-3.13579778643098,0.000783167238669479,"Down","Shared Down"
"SMG9",-1.06677078823549,0.000314875921553394,"Down",-3.29445796766027,6.86299984485774e-07,"Down","Shared Down"
"RFNG",-1.35333198038345,0.000320571791585321,"Down",-3.24770614735297,9.51937108374119e-05,"Down","Shared Down"
"TRAPPC6A",-1.58323867194971,0.000343327634321527,"Down",-3.98775603296827,2.33233268536349e-05,"Down","Shared Down"
"FAM195B",-1.27554853507724,0.000352999458598334,"Down",-3.36146767470132,1.73418382425671e-06,"Down","Shared Down"
"SGMS1",-1.68906635519036,0.000352999458598334,"Down",-3.22326459507058,0.000340204765782965,"Down","Shared Down"
"MEX3C",-1.15449940155761,0.000355993635498732,"Down",-2.4330538843939,0.00025360984483765,"Down","Shared Down"
"SFTPB",-2.70345390774237,0.000362858960870995,"Down",-5.73386461917561,1.45652248396815e-06,"Down","Shared Down"
"BLOC1S4",-1.34835436659081,0.000370441046808181,"Down",-3.17706923585864,6.48787800745021e-05,"Down","Shared Down"
"D2HGDH",-1.40639148927562,0.000381007850579478,"Down",-3.5264622666218,2.29271229366132e-05,"Down","Shared Down"
"FIBCD1",-2.80704412541031,0.000381007850579478,"Down",-4.73271121502081,5.35844980825221e-05,"Down","Shared Down"
"TNFRSF11A",-1.36734294181296,0.000393181586496053,"Down",-3.17673185411607,0.000567029761262018,"Down","Shared Down"
"TDH",-3.24461390049736,0.000399879537834328,"Down",-5.67437990078365,6.03728537499909e-06,"Down","Shared Down"
"MAP10",-1.81270295241218,0.000406677190053767,"Down",-3.56069664362098,0.000184178981011886,"Down","Shared Down"
"SCAND1",-1.15689444296291,0.000427615101108876,"Down",-3.89869274594976,5.80376595584123e-07,"Down","Shared Down"
"EXOSC6",-1.23395724154126,0.00044646208877281,"Down",-3.25350705734945,0.000360297104917999,"Down","Shared Down"
"SLC34A2",-1.81766227415929,0.000453257970549581,"Down",-4.28563735301513,2.51863220649873e-07,"Down","Shared Down"
"TXNDC11",-1.19236552238965,0.000461224517547064,"Down",-3.29952980915347,9.60418849674894e-07,"Down","Shared Down"
"CCDC64B",-1.05869769255063,0.000512221108285273,"Down",-2.54505426338005,9.45328550348945e-05,"Down","Shared Down"
"CNNM2",-2.07177379867236,0.000512929945442397,"Down",-4.6441698332065,2.84960168005441e-10,"Down","Shared Down"
"MAMSTR",-1.86505322287857,0.000524315699902746,"Down",-3.85002713483011,9.83699750883826e-07,"Down","Shared Down"
"TBC1D17",-1.2585164801303,0.000526443061796118,"Down",-2.45967211996764,0.000963021592551146,"Down","Shared Down"
"APC2",-2.38207723914465,0.00055916772890595,"Down",-4.3305685692223,4.63056060437218e-07,"Down","Shared Down"
"JRK",-1.12821132413636,0.000589491714797589,"Down",-2.98538444190623,1.74847057149609e-06,"Down","Shared Down"
"SLC35F3",-2.50245632125636,0.000609887062024716,"Down",-3.69391038180949,0.00426583098323109,"Down","Shared Down"
"AGPAT2",-1.15869808498436,0.000627448802432167,"Down",-3.00761269885976,5.68641330234237e-05,"Down","Shared Down"
"CEACAM21",-2.12972811793152,0.000691333629091697,"Down",-3.90774069741331,0.000151584959301836,"Down","Shared Down"
"ADAMTSL3",-1.71107886079151,0.000697244767782614,"Down",-3.67115321783817,2.35387284137035e-05,"Down","Shared Down"
"CRAT",-1.81525975146035,0.000700961263814203,"Down",-3.7016206252598,5.61846284508366e-05,"Down","Shared Down"
"DFNA5",-2.2480986155032,0.000701371566272265,"Down",-3.65564535552441,0.000754368132841627,"Down","Shared Down"
"POMGNT2",-1.60140284684194,0.00070153972919825,"Down",-2.83605495159086,0.021487969741865,"Down","Shared Down"
"IPPK",-1.38774315657291,0.000738005763285742,"Down",-2.95351641784123,0.00145006373843068,"Down","Shared Down"
"RAI1",-1.01845897546653,0.000738005763285742,"Down",-2.9901341377388,1.51354041638053e-06,"Down","Shared Down"
"NTN4",-1.23066213370387,0.000783741541778151,"Down",-2.61450956270168,0.000464562168168086,"Down","Shared Down"
"FAM207A",-1.33982953983093,0.000853861317777882,"Down",-3.29698629238798,1.24869131295612e-05,"Down","Shared Down"
"COMMD7",-1.04131359272896,0.000856442796188291,"Down",-3.05953223383721,0.000279046454990313,"Down","Shared Down"
"SHISA7",-3.22467210501153,0.000898404505553853,"Down",-5.42959589240435,2.55298657745305e-05,"Down","Shared Down"
"ABCA3",-1.9582755742401,0.000899727190368156,"Down",-4.00721318612676,9.97408319511076e-05,"Down","Shared Down"
"APRT",-1.27968861378603,0.000904528971983928,"Down",-4.02326232110764,4.87965764610253e-07,"Down","Shared Down"
"PINK1",-1.41320104149837,0.000922776330942209,"Down",-3.30454856718098,0.00215405772609978,"Down","Shared Down"
"COX8A",-1.4128851098286,0.0009322388157077,"Down",-4.46138538994173,2.9663899763116e-10,"Down","Shared Down"
"CCER2",-1.94135666977622,0.000935455360023407,"Down",-2.90865450109703,0.00754222721428431,"Down","Shared Down"
"ORAI3",-1.50880860451041,0.000942637916814351,"Down",-3.45199837172341,0.000141149862913146,"Down","Shared Down"
"SLC26A11",-1.73726406429061,0.000945668267005327,"Down",-3.59278661848346,7.70637709946993e-05,"Down","Shared Down"
"MYO15A",-1.89658672260032,0.000954444007345485,"Down",-3.54190223936473,0.000353185011176232,"Down","Shared Down"
"IGSF1",-2.89793408583873,0.000963793046403029,"Down",-4.53292699476527,2.66394207427411e-05,"Down","Shared Down"
"MIRLET7BHG",-1.15089394046674,0.000988715869133177,"Down",-2.73091649649876,0.00105088764138416,"Down","Shared Down"
"MAFB",-1.5297010898575,0.000994291571654625,"Down",-2.60703023840419,4.63053172310691e-05,"Down","Shared Down"
"CRIP1",-1.28381617492511,0.00101991903839122,"Down",-3.77374031638356,1.91146912812041e-05,"Down","Shared Down"
"TRPV2",-2.08442104785084,0.00102028977933525,"Down",-5.03329346598485,1.43957205003556e-08,"Down","Shared Down"
"RNVU1_15",-2.09442189460706,0.00102203686870707,"Down",-5.05527569780478,2.30802995847799e-10,"Down","Shared Down"
"MMP21",-2.42287028796824,0.00102376806037249,"Down",-4.46145106441158,1.06220157476312e-05,"Down","Shared Down"
"ZNF503_AS2",-1.77020736731817,0.00103176273568941,"Down",-3.36297418903712,0.00249267601834624,"Down","Shared Down"
"GLRX5",-1.09016720699128,0.00105134374588386,"Down",-3.44489182944909,3.94678192867708e-05,"Down","Shared Down"
"PDGFA",-1.51284512026682,0.00106398225805177,"Down",-3.58759902408654,0.000195138960644766,"Down","Shared Down"
"HDHD3",-1.02416907916925,0.00106980641664796,"Down",-3.58723154686856,5.07578058407156e-06,"Down","Shared Down"
"SURF1",-1.09623286692958,0.00107992268203976,"Down",-3.69031407024716,2.13540872263004e-06,"Down","Shared Down"
"IRS2",-1.35635391705281,0.00107998634764876,"Down",-3.18801847403372,3.04483194170398e-06,"Down","Shared Down"
"PPP1R3E",-1.02870643216072,0.00109178575054262,"Down",-2.99032143373798,0.000363310313319126,"Down","Shared Down"
"MFHAS1",-1.80323448596898,0.00111197798655849,"Down",-3.60269759554406,0.000311620637153182,"Down","Shared Down"
"IL32",-1.58198935369989,0.00115284214472794,"Down",-3.42628985765577,1.84657337452425e-05,"Down","Shared Down"
"SPSB4",-2.96609704265656,0.00119587346971924,"Down",-4.9953710648841,4.3294169573672e-06,"Down","Shared Down"
"C11orf84",-1.15078890284112,0.00122673804450479,"Down",-2.76587013044101,0.00129653351116175,"Down","Shared Down"
"CAMK2N2",-2.00177834881346,0.00123047193503431,"Down",-4.70305444194735,6.58237337937188e-07,"Down","Shared Down"
"SMIM12",-1.02156887515409,0.00127024213374042,"Down",-3.38204527395787,1.22172087225676e-06,"Down","Shared Down"
"RPS19BP1",-1.11335836125732,0.00130962260481969,"Down",-3.28004808245856,3.01887869795897e-07,"Down","Shared Down"
"C9orf69",-1.78368600124703,0.0013176230602748,"Down",-4.11503490214246,3.1466515205599e-07,"Down","Shared Down"
"ALDH5A1",-1.29442799162016,0.0013195708025114,"Down",-4.27311618401848,4.87965764610253e-07,"Down","Shared Down"
"CATIP",-1.39529894783474,0.0013195708025114,"Down",-3.56748487849316,1.13768346388526e-05,"Down","Shared Down"
"EXOC3L4",-1.62641604438994,0.00132035683880732,"Down",-3.41205428430215,0.000293091201826434,"Down","Shared Down"
"CRACR2B",-1.02861633967066,0.00134860543661782,"Down",-2.54852474872035,0.000375696082697181,"Down","Shared Down"
"CACNA1G",-2.37353178479283,0.00138341601471656,"Down",-4.06002165381958,0.000575387123311736,"Down","Shared Down"
"DLK2",-1.65962695334887,0.00139059527213468,"Down",-3.84151992333198,2.48391942159649e-06,"Down","Shared Down"
"ASGR1",-2.39204412386424,0.0014463752885882,"Down",-4.02038037189798,0.000198517251279349,"Down","Shared Down"
"BCAM",-1.40941806726312,0.00145972646002142,"Down",-3.77184481216057,1.46766827891164e-05,"Down","Shared Down"
"OGFOD3",-1.19487781347078,0.0015546795996391,"Down",-3.09367417840878,3.45655124785941e-05,"Down","Shared Down"
"C15orf52",-1.46905790563283,0.00160122303157014,"Down",-2.83780074900076,0.00382351994893809,"Down","Shared Down"
"OR4D2",-3.79248187241326,0.00160749265819843,"Down",-5.11570307726933,0.0163712984147872,"Down","Shared Down"
"DAB2",-1.45542813297255,0.00166681186217359,"Down",-3.46107246686197,7.32341506838829e-05,"Down","Shared Down"
"RNU5E_1",-1.52347068542672,0.00168630047258599,"Down",-4.9593391050083,4.35754085118264e-12,"Down","Shared Down"
"LOC646903",-2.00437083607999,0.00174979336531997,"Down",-4.49573627256555,2.17984282170539e-05,"Down","Shared Down"
"KRT74",-2.95488561856869,0.00176973752544603,"Down",-3.44729816640351,0.0227290933838319,"Down","Shared Down"
"NEURL1B",-1.6227498133873,0.00177728868274254,"Down",-3.80428519547953,0.000740382112310455,"Down","Shared Down"
"LMF2",-1.10179838914161,0.00177990435854803,"Down",-3.02923945175476,0.000128410508442908,"Down","Shared Down"
"PVRIG",-1.03049122630137,0.00181878207824109,"Down",-3.25534337564199,0.000111260421485692,"Down","Shared Down"
"TNK1",-1.0514240269119,0.00182517688490284,"Down",-3.12906600746073,8.61200929490021e-06,"Down","Shared Down"
"HSPB1",-1.08119649478209,0.00185483846010882,"Down",-3.29521659331724,5.03229095809648e-07,"Down","Shared Down"
"SEMA4C",-1.07240480837906,0.00186547765763843,"Down",-3.29768840186901,8.308612608277e-06,"Down","Shared Down"
"FAM195A",-1.5409915077627,0.00187275630507509,"Down",-3.31843138857325,0.000192736166846685,"Down","Shared Down"
"MEGF8",-1.33289890442042,0.00190421623815465,"Down",-3.47231964593477,5.39404841647121e-06,"Down","Shared Down"
"MEX3D",-1.43811608218504,0.00190421623815465,"Down",-3.25117836267629,0.000559508194412273,"Down","Shared Down"
"KDF1",-1.00937982050168,0.00190907426299549,"Down",-3.09206194849837,0.000449080996380576,"Down","Shared Down"
"CNTD1",-2.363026107727,0.00198060501014105,"Down",-3.47317955673677,0.0213611234552502,"Down","Shared Down"
"FRMPD1",-2.02544924514926,0.0020813018371908,"Down",-3.4468746455449,0.000874067794490708,"Down","Shared Down"
"EMILIN3",-2.66485914056844,0.00211563261711653,"Down",-3.49255452205661,0.0236580998720805,"Down","Shared Down"
"RASSF7",-1.18702756972273,0.00211563261711653,"Down",-2.17664502459103,0.0107408894272187,"Down","Shared Down"
"INHBB",-1.70844612287959,0.00212890063880767,"Down",-3.58763283451531,0.00014881009712214,"Down","Shared Down"
"PEX10",-1.10572600721206,0.0021810353617733,"Down",-3.28869276198276,0.000425252567582573,"Down","Shared Down"
"DUSP15",-2.3286510945518,0.0022128995915625,"Down",-4.73648052796523,3.53674847122553e-06,"Down","Shared Down"
"ZBTB8A",-1.25774183539441,0.0023194125436551,"Down",-2.43339363188682,0.0090211422732553,"Down","Shared Down"
"SNORD83B",-1.64920670793344,0.00236303166226101,"Down",-5.41004561493843,1.57646499656578e-07,"Down","Shared Down"
"FLYWCH1",-1.37831513456308,0.00238554538487771,"Down",-3.41702475609941,1.12074596204846e-05,"Down","Shared Down"
"REEP6",-1.2784870846351,0.00239123818790032,"Down",-3.99944709406976,3.15749096003442e-05,"Down","Shared Down"
"MCAT",-1.07395492970123,0.00239749278082361,"Down",-3.6876605930648,3.04177066260786e-07,"Down","Shared Down"
"POU3F1",-2.08547420908966,0.00246095234370912,"Down",-4.06272433194449,0.000369692854037712,"Down","Shared Down"
"KLHL31",-1.81070595513074,0.00246905443117284,"Down",-3.24320928586299,0.00264568512729522,"Down","Shared Down"
"BPHL",-1.08861893877737,0.00248905826040528,"Down",-3.84905649089643,1.90947755865709e-05,"Down","Shared Down"
"NUBP2",-1.15669247484685,0.00248905826040528,"Down",-3.15925283942042,0.000137963188403385,"Down","Shared Down"
"PTGS1",-1.91344532327496,0.00250449678962659,"Down",-3.76052278435762,6.83979671142801e-05,"Down","Shared Down"
"ZNF316",-1.0667227237028,0.00251063881355654,"Down",-2.39893324463431,8.34929316091864e-05,"Down","Shared Down"
"RNF44",-1.01830869727208,0.00263853742367861,"Down",-2.49454893414548,0.000527580897195292,"Down","Shared Down"
"UNKL",-1.09515422927631,0.00265131127116794,"Down",-2.85332114166392,0.000304779728435298,"Down","Shared Down"
"FBXO44",-1.06146275830723,0.00268943203447664,"Down",-3.30257646886597,0.000131945438526833,"Down","Shared Down"
"LAD1",-1.14604689130786,0.00275066063838706,"Down",-2.95493701744514,3.27437896583128e-06,"Down","Shared Down"
"LINC01267",-1.80249047423389,0.00291628690606902,"Down",-3.89584559368353,0.000285016291588831,"Down","Shared Down"
"HOMER3",-1.39635171990752,0.00300991784482119,"Down",-3.21993295225057,1.7031478605809e-05,"Down","Shared Down"
"CEBPA",-1.29449385358914,0.00304819008793647,"Down",-3.61347202304977,4.50866728252055e-06,"Down","Shared Down"
"BCAN",-1.72398977966291,0.00306768909936211,"Down",-3.89848089464763,0.000134257306266248,"Down","Shared Down"
"CASC10",-1.93921851642455,0.0031121743756755,"Down",-4.04886338388118,0.00126357495069499,"Down","Shared Down"
"GDPD3",-1.4251049090204,0.00318921655242596,"Down",-2.91883104689284,0.000358037249934116,"Down","Shared Down"
"ADPRH",-2.00743417505186,0.00323389881088678,"Down",-3.45128961750644,0.000329088957806857,"Down","Shared Down"
"KLHDC8B",-1.25535165459915,0.0032733213941233,"Down",-4.3040965214002,4.01876077312263e-08,"Down","Shared Down"
"SARDH",-1.84509303139498,0.00364443373775815,"Down",-3.17647876437613,0.00363985219552528,"Down","Shared Down"
"NCBP2_AS2",-1.17771296751024,0.0036694223932901,"Down",-3.65833496862514,6.23481217283154e-06,"Down","Shared Down"
"SNORD31",-1.55439878115471,0.00367048647207505,"Down",-4.61726097265901,3.90460917776034e-09,"Down","Shared Down"
"VTRNA1_2",-2.0716047091975,0.00370542333939384,"Down",-3.19995668973257,0.00192900383611563,"Down","Shared Down"
"GALNT4",-1.15582425673004,0.00378335182248533,"Down",-3.62461284735533,7.56001779145772e-07,"Down","Shared Down"
"PTRF",-1.51494642496843,0.00380232112433018,"Down",-3.17055710110908,2.47353482010628e-05,"Down","Shared Down"
"LOXHD1",-1.79156801019821,0.0038267635536606,"Down",-2.09875853421029,0.0101418473285434,"Down","Shared Down"
"SNORA60",-1.15128721042996,0.00394769969005045,"Down",-4.26648154291424,2.01764726975206e-08,"Down","Shared Down"
"SNORA80B",-1.55555706971982,0.0040027470037602,"Down",-4.94247199156602,4.30282594814935e-11,"Down","Shared Down"
"CPB1",-2.21631972860809,0.00400898971421689,"Down",-3.43659461864066,0.00568223826551916,"Down","Shared Down"
"YDJC",-1.48404527270534,0.00400898971421689,"Down",-3.25006441093246,0.00156955044242625,"Down","Shared Down"
"PHEX",-1.27662925760024,0.00402722072535208,"Down",-3.38635632972731,4.09444822658312e-05,"Down","Shared Down"
"COX20",-1.26374103843249,0.00411298985356926,"Down",-3.84263382063301,4.18092000725319e-06,"Down","Shared Down"
"ID1",-1.11159663808692,0.00412323952116726,"Down",-2.64978820497688,0.000408839067496587,"Down","Shared Down"
"MAMDC4",-1.82942214519671,0.00413885055746515,"Down",-3.24263332271589,0.00066176458982873,"Down","Shared Down"
"DNPH1",-1.08293391562961,0.00417583175422128,"Down",-3.3499945552707,4.15600356153155e-05,"Down","Shared Down"
"GATA6",-1.12831000339181,0.00436745335769661,"Down",-2.54990233481577,0.00570053594532737,"Down","Shared Down"
"GNAO1",-1.97201615981936,0.00438052063427605,"Down",-4.14971888111541,0.000358584054025295,"Down","Shared Down"
"HACD2",-1.15026896555987,0.00438846495638483,"Down",-3.46297037237146,5.53189453520196e-05,"Down","Shared Down"
"FAM83G",-1.16938127814231,0.00438976310103407,"Down",-2.91359791922978,0.000242196855233035,"Down","Shared Down"
"ZBED3",-2.65045554303867,0.00443415622291701,"Down",-4.9085526036819,0.000124910662974508,"Down","Shared Down"
"LYSMD4",-1.51976447455736,0.00454197729702251,"Down",-3.62444856600249,0.000124409304950684,"Down","Shared Down"
"LRRC26",-1.45508814615202,0.00455814867003142,"Down",-3.01298122765782,0.0126359698072122,"Down","Shared Down"
"FAM173A",-1.33716570323278,0.00468893978509921,"Down",-3.36528942257997,0.00312390289754468,"Down","Shared Down"
"LINC01004",-1.48906120850815,0.00468893978509921,"Down",-2.47007374199308,0.00480691502654776,"Down","Shared Down"
"SCAMP5",-1.29625202385747,0.00475197040663638,"Down",-3.96148003872647,2.31305590871356e-06,"Down","Shared Down"
"MED22",-1.10708330238141,0.00484321370579153,"Down",-3.44162396299234,0.000243702677667368,"Down","Shared Down"
"ATP5G1",-1.13245917530957,0.00493698595927148,"Down",-3.70546897530718,0.00019177074781096,"Down","Shared Down"
"MORN4",-1.19166092072396,0.00493698595927148,"Down",-3.53039971291873,0.000682428739455593,"Down","Shared Down"
"TSPO",-1.51103980502976,0.00498449911523906,"Down",-3.66993232377237,3.66501855286962e-05,"Down","Shared Down"
"KIAA1804",-1.56274421375594,0.00498539628522558,"Down",-3.21664042692238,0.00107185256898194,"Down","Shared Down"
"SLC9A5",-1.77936175816703,0.00511926839792836,"Down",-3.897719022223,0.000114093024964487,"Down","Shared Down"
"SYT8",-1.32059409732635,0.00529878152208322,"Down",-2.37005903098599,0.011222426811583,"Down","Shared Down"
"SNORA78",-1.35269809908112,0.0053361638862046,"Down",-4.66397266385311,4.97849413307615e-06,"Down","Shared Down"
"LMNTD2",-1.05679152616968,0.0053551959064654,"Down",-2.55256483140222,0.00212206707671247,"Down","Shared Down"
"SIVA1",-1.25424376118815,0.005575727849671,"Down",-3.69238103606529,0.000155155741946649,"Down","Shared Down"
"FASTK",-1.0173800426108,0.00558533983317286,"Down",-3.02699217167667,0.00137255736313285,"Down","Shared Down"
"OPLAH",-1.50913118320276,0.0056758634307677,"Down",-3.81399036330793,3.20199705224927e-05,"Down","Shared Down"
"FBXL19_AS1",-1.6299137708616,0.00569357724414539,"Down",-3.57350227349751,9.53372684686576e-05,"Down","Shared Down"
"HP",-1.85620515444375,0.00569357724414539,"Down",-3.91097110012988,0.00243473949795265,"Down","Shared Down"
"SMAD7",-1.29984126399059,0.00569731953195461,"Down",-2.73520980562693,0.000823886507651096,"Down","Shared Down"
"SBK1",-1.4219962831523,0.00576682816116608,"Down",-3.44049574948801,1.66225403277861e-05,"Down","Shared Down"
"KCNS3",-1.2514751666702,0.00582600025997533,"Down",-2.75992129423886,0.00196821578237466,"Down","Shared Down"
"GPN2",-1.07198231057811,0.00597151516034087,"Down",-3.38781208574031,5.24839766344111e-05,"Down","Shared Down"
"MYH11",-1.29463017654374,0.00608978377595,"Down",-2.91650382994783,0.000299838372665988,"Down","Shared Down"
"C1orf122",-1.35407790684969,0.00613010673854688,"Down",-3.48935095105142,0.00114690943501864,"Down","Shared Down"
"SPATA20",-1.01554654085898,0.00615469055367333,"Down",-2.9620556024253,0.000209137744897126,"Down","Shared Down"
"SLC39A7",-1.214799599093,0.00616543758952097,"Down",-3.13626360377862,2.01158672065926e-06,"Down","Shared Down"
"SNTA1",-1.31839405444325,0.00616543758952097,"Down",-3.02587532171829,0.000294476340808749,"Down","Shared Down"
"TBC1D22A_AS1",-1.0505556046272,0.00616543758952097,"Down",-3.29252381087921,6.01214689918119e-05,"Down","Shared Down"
"GALNT14",-1.46287486454461,0.00631427056588379,"Down",-3.10328739778365,0.00198851441228486,"Down","Shared Down"
"ZNF213_AS1",-1.39340629907952,0.00631991646234552,"Down",-3.31605276669266,0.00413137458023086,"Down","Shared Down"
"PGAP3",-1.1366892468784,0.00638176055999587,"Down",-3.45260356083556,4.21230655257478e-05,"Down","Shared Down"
"ALKBH4",-1.38048746095127,0.00642805235214311,"Down",-3.31667958502613,0.000131575795719196,"Down","Shared Down"
"THAP7",-1.11542526345281,0.0064445710023097,"Down",-3.6342873361291,1.86270820427434e-05,"Down","Shared Down"
"BAMBI",-1.50088145236881,0.00652852590962432,"Down",-3.68181211081768,7.75879413440612e-05,"Down","Shared Down"
"PVRL1",-1.25066242175847,0.00653677465398859,"Down",-3.28448622797589,0.00025393708012267,"Down","Shared Down"
"CCBL1",-1.37123771950431,0.00656440695062568,"Down",-3.55300663074112,0.00019110823494749,"Down","Shared Down"
"KCNJ5",-1.9430956523143,0.00657110237866765,"Down",-3.55934021090022,0.0129951479065885,"Down","Shared Down"
"TUSC1",-1.20610603374338,0.00692896865096239,"Down",-3.30694685590531,0.000950626369358521,"Down","Shared Down"
"LTB4R",-1.21270196136117,0.00695880298782434,"Down",-2.59981491027764,0.000883832075991637,"Down","Shared Down"
"NOTCH3",-1.08496380335094,0.00697451155078773,"Down",-2.69460006903258,0.00447670380940204,"Down","Shared Down"
"SNORD20",-1.31664356167594,0.00714592686627159,"Down",-3.93984818495925,1.88275423241607e-06,"Down","Shared Down"
