"gene","covid_log2FC","covid_padj","covid_direction","virus_log2FC","virus_padj","virus_direction","shared_direction"
"RPS9",-1.1470981999889,3.96183413422027e-06,"Down",-2.98136400846026,9.61589971116619e-06,"Down","Shared Down"
"PRSS21",-3.81179150633239,4.40072511210005e-06,"Down",-4.41297030631688,0.00997436126261586,"Down","Shared Down"
"ZNF830",-1.56163097575557,4.56412492773878e-06,"Down",-2.69556570144036,0.000994914154776097,"Down","Shared Down"
"SLC38A1",-1.52086011305119,4.57600598488264e-06,"Down",-3.70446588989646,1.27221337338285e-06,"Down","Shared Down"
"GGA1",-1.36101077585276,4.59152131980538e-06,"Down",-3.12512688869029,2.96354495867047e-05,"Down","Shared Down"
"TADA1",-1.98578259019344,4.62213646269793e-06,"Down",-4.16839008646269,2.50225739505419e-05,"Down","Shared Down"
"TRPM4",-1.35621746164567,4.71334540236069e-06,"Down",-3.16819138238163,1.98453669460191e-06,"Down","Shared Down"
"KLF13",-1.60594664195507,4.86210904948762e-06,"Down",-3.54922735814159,1.74847057149609e-06,"Down","Shared Down"
"KALRN",-1.50872726390354,4.88339143626726e-06,"Down",-3.3288379979448,1.27201722191414e-05,"Down","Shared Down"
"CASKIN1",-3.17768241176241,4.99527597624145e-06,"Down",-4.41435723373611,4.86887582374196e-05,"Down","Shared Down"
"KCNB2",-2.77463891324672,5.25466467947597e-06,"Down",-3.85726816764471,0.000108942873783627,"Down","Shared Down"
"C1QBP",-1.35899854481029,5.87176185124234e-06,"Down",-3.95626535210068,1.21892204892698e-05,"Down","Shared Down"
"KLHL29",-1.99498943510477,6.01805144464403e-06,"Down",-3.65544711607869,5.41330071054475e-06,"Down","Shared Down"
"RPTOR",-1.36524368963029,6.02707243078794e-06,"Down",-3.2737523705532,0.000136480525445262,"Down","Shared Down"
"CD82",-1.32007449774789,6.08521344566317e-06,"Down",-3.39954811062625,9.15684672827535e-07,"Down","Shared Down"
"SNORA10",-1.76995163725,6.35570310416578e-06,"Down",-4.65564963604393,1.16734869804206e-08,"Down","Shared Down"
"SUPT3H",-1.92080172614751,6.6928483347644e-06,"Down",-4.19868249489113,1.3862701395209e-07,"Down","Shared Down"
"CACNA1A",-2.1330564311774,6.74965868006487e-06,"Down",-3.45639329559022,1.83760036376503e-05,"Down","Shared Down"
