"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"DHX30",23.2580170835947,-3.41523641152978,0.603470936864288,-5.65932210302584,1.51972089094085e-08,7.56001779145772e-07,"Down","OtherVirus_vs_Healthy"
"GALNT4",2.85192601440188,-3.62461284735533,0.640351946729158,-5.66034485546492,1.51069108659433e-08,7.56001779145772e-07,"Down","OtherVirus_vs_Healthy"
"SNORD48",7.28072326592743,-4.85687304164728,0.858190235891282,-5.65943637963106,1.51870935561451e-08,7.56001779145772e-07,"Down","OtherVirus_vs_Healthy"
"ELAVL1",9.58705036236496,-3.23906264007828,0.572664997269843,-5.65612121488196,1.54832137836911e-08,7.63001651025989e-07,"Down","OtherVirus_vs_Healthy"
"PPP4C",48.6343452056358,-2.55845635215639,0.452363038757749,-5.65575905401614,1.55159008170628e-08,7.63001651025989e-07,"Down","OtherVirus_vs_Healthy"
"TRIM16",28.0551613586832,-2.60633418310548,0.460829950788586,-5.65573955999483,1.55176621606385e-08,7.63001651025989e-07,"Down","OtherVirus_vs_Healthy"
"SLC35E1",61.2655652943942,-3.38668240204843,0.599841341336764,-5.64596363848665,1.64258562660692e-08,8.04551075186121e-07,"Down","OtherVirus_vs_Healthy"
"POLR2F",12.8620447237646,-2.93913025400917,0.520750187096292,-5.64403110519804,1.66114042181387e-08,8.07428369152658e-07,"Down","OtherVirus_vs_Healthy"
"THAP4",11.1182249949496,-3.05013806172378,0.54035631091747,-5.64467926088428,1.65489472410349e-08,8.07428369152658e-07,"Down","OtherVirus_vs_Healthy"
"STAP2",8.0585517087633,-3.42577674769935,0.607124993088413,-5.64262184344052,1.67479931858067e-08,8.10972217571286e-07,"Down","OtherVirus_vs_Healthy"
"WEE2_AS1",25.7762201288361,-3.78217411170109,0.671680985534866,-5.63090841210774,1.79262908401382e-08,8.64739825186214e-07,"Down","OtherVirus_vs_Healthy"
"ARFGAP3",112.088191175467,-3.75600937830481,0.667501794827446,-5.62696521179507,1.83407697959451e-08,8.81395106986269e-07,"Down","OtherVirus_vs_Healthy"
"COPE",27.8873314386189,-3.03745094718821,0.540050641471634,-5.62438170411423,1.86173580966957e-08,8.90706316536166e-07,"Down","OtherVirus_vs_Healthy"
"DUS1L",11.8661016372607,-3.17491445867339,0.564559243872874,-5.62370467427562,1.86905075197334e-08,8.90706316536166e-07,"Down","OtherVirus_vs_Healthy"
"NXN",8.61537929910223,-2.96862233711534,0.527923268309113,-5.62320798365936,1.87443496530579e-08,8.90706316536166e-07,"Down","OtherVirus_vs_Healthy"
"TMBIM6",55.785424347039,-2.68147958077321,0.477026210605204,-5.62124160299537,1.89589909458176e-08,8.97556690315938e-07,"Down","OtherVirus_vs_Healthy"
"PPP1R37",14.7309463247488,-3.15379103950513,0.561169670142102,-5.62003117293654,1.90923006955729e-08,9.00520182807856e-07,"Down","OtherVirus_vs_Healthy"
"NDUFB6",1.80176569575108,-4.12599842253447,0.734393031123088,-5.61824288586275,1.9290919275237e-08,9.03198003566705e-07,"Down","OtherVirus_vs_Healthy"
"SOX21",100.734404299359,-3.58969280419319,0.638898995685062,-5.61856072467938,1.92554720740242e-08,9.03198003566705e-07,"Down","OtherVirus_vs_Healthy"
"AP1S1",4.34673720477224,-3.02995593952438,0.539471132644901,-5.61653025745643,1.94830145632991e-08,9.05533541838007e-07,"Down","OtherVirus_vs_Healthy"
"TAP2",62.3256406026584,-2.81879813359176,0.50183955076783,-5.61693100768745,1.94378990447981e-08,9.05533541838007e-07,"Down","OtherVirus_vs_Healthy"
