"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"LONP1",59.1770756544164,-1.50584823664933,0.212242234378449,-7.09495092274733,1.29397396406423e-12,3.31936140814379e-10,"Down","COVID19_vs_Healthy"
"PARP9",95.7281189091043,2.07010348937481,0.292845993724486,7.06891517635852,1.56149554348934e-12,3.94101326847115e-10,"Up","COVID19_vs_Healthy"
"STAT1",242.702679395241,2.01438917236613,0.286268858764412,7.03670382122805,1.96840639076326e-12,4.88914654010531e-10,"Up","COVID19_vs_Healthy"
"EMX2OS",11.4345289963697,-3.89690427722291,0.554181117702489,-7.03182434901175,2.03850334262115e-12,4.9841406727087e-10,"Down","COVID19_vs_Healthy"
"RNF20",117.034239532521,-1.44973112537301,0.206267580560835,-7.02840030135243,2.08914817213231e-12,5.02938316885021e-10,"Down","COVID19_vs_Healthy"
"ATRX",142.097420521721,1.13594599979649,0.161757966834157,7.02250418961512,2.1792646729547e-12,5.16683842460533e-10,"Up","COVID19_vs_Healthy"
"MX2",148.010408430807,2.85433799658665,0.406856777627786,7.01558423882999,2.28990049028781e-12,5.34811386149608e-10,"Up","COVID19_vs_Healthy"
"ARID4B",201.090096355835,1.61666412511502,0.230545446321676,7.01234464140887,2.34357033669891e-12,5.39296891598008e-10,"Up","COVID19_vs_Healthy"
"LINC00324",59.9234364328818,-5.23428731167513,0.749354008218022,-6.9850661426665,2.84721810628011e-12,6.45699549667697e-10,"Down","COVID19_vs_Healthy"
"WBSCR16",14.6529120301054,-1.82702235442696,0.2621650218011,-6.96897832470224,3.19250877791764e-12,7.13662533669361e-10,"Down","COVID19_vs_Healthy"
"PCNXL4",15.1261804348499,-2.34102121436615,0.336527495679466,-6.95640399201115,3.49067946616967e-12,7.69326088543986e-10,"Down","COVID19_vs_Healthy"
"FBL",43.4180604008185,-1.48117343388449,0.214942831529614,-6.89101108115076,5.53972228229346e-12,1.20396630935178e-09,"Down","COVID19_vs_Healthy"
"COX7A2L",16.6186717343628,-1.94561687307746,0.28265896818239,-6.88326602756868,5.84956396721127e-12,1.23026266837672e-09,"Down","COVID19_vs_Healthy"
"MALAT1",44651.459918889,1.81068380189144,0.263099483416452,6.88212602464658,5.89658104091604e-12,1.23026266837672e-09,"Up","COVID19_vs_Healthy"
"USP18",68.9251695160601,2.65060274607711,0.385076045122658,6.88332286479366,5.8472294741701e-12,1.23026266837672e-09,"Up","COVID19_vs_Healthy"
"STK25",24.1396526272662,-1.85016722584964,0.26946893184817,-6.86597602610494,6.60381644356933e-12,1.35969104880228e-09,"Down","COVID19_vs_Healthy"
"C9orf16",21.15341106119,-1.96271300982165,0.285941118230331,-6.86404607343195,6.69370260946338e-12,1.36029946016731e-09,"Down","COVID19_vs_Healthy"
"MYNN",13.7626268916993,-2.04016099650515,0.298750336974989,-6.82898308053107,8.55186587833009e-12,1.71563586236037e-09,"Down","COVID19_vs_Healthy"
"CHD1",66.1050209531209,1.74229823147658,0.259316456366777,6.7188108918636,1.83213496412791e-11,3.62901872388272e-09,"Up","COVID19_vs_Healthy"
"DANT2",20.4444423046019,-3.77476798384867,0.564336563261027,-6.68885950262751,2.24916533726304e-11,4.39936739968651e-09,"Down","COVID19_vs_Healthy"
"PEAR1",639.529010147963,4.9947278399758,0.749476193981212,6.66429151464284,2.6594512879176e-11,5.1376658954734e-09,"Up","COVID19_vs_Healthy"
"CAPN12",5.99668488970329,-2.90676794366136,0.437071560414419,-6.65055383815238,2.91992166031875e-11,5.57206513910582e-09,"Down","COVID19_vs_Healthy"
"GBP5",99.1016691541271,3.52501759357735,0.531532233952988,6.63180399683742,3.31608736718843e-11,6.25182350864632e-09,"Up","COVID19_vs_Healthy"
"PAFAH2",13.88019252236,-2.43792759408089,0.368068803677748,-6.62356485994219,3.50637965254818e-11,6.53188438131832e-09,"Down","COVID19_vs_Healthy"
"GLTSCR2",52.9502004874934,-1.38620717274051,0.20936253410143,-6.62108518455808,3.56571403585728e-11,6.5642697921288e-09,"Down","COVID19_vs_Healthy"
"BAZ2B",181.956714581201,1.23341753041945,0.186513916046174,6.61300538086447,3.76594759663857e-11,6.85227302234889e-09,"Up","COVID19_vs_Healthy"
"HERC5",32.2379418228142,3.85286400941395,0.583709258184754,6.6006559865022,4.09342427925209e-11,7.36251760019962e-09,"Up","COVID19_vs_Healthy"
"OAS2",98.5311098987721,2.57725727494449,0.390789577600398,6.59500002730335,4.25255784257653e-11,7.56182103643608e-09,"Up","COVID19_vs_Healthy"
"GBP3",72.0504143618458,1.86737367944609,0.284150166129073,6.57178457744716,4.97157569943178e-11,8.74103556682117e-09,"Up","COVID19_vs_Healthy"
"HPS5",26.8109541282032,-1.63808022684573,0.249358350716018,-6.56918134941971,5.05926374815726e-11,8.79637323679608e-09,"Down","COVID19_vs_Healthy"
"LARP7",63.1207251029198,1.38285069747031,0.210813741234644,6.55958520242355,5.39576569387148e-11,9.27834522831878e-09,"Up","COVID19_vs_Healthy"
"AXIN1",29.1534650637868,-1.42642730984602,0.217599954653089,-6.5552739297217,5.55398294430315e-11,9.4466005557017e-09,"Down","COVID19_vs_Healthy"
"SGK3",1.32711018223891,-3.27002887776277,0.499020643430954,-6.55289299312369,5.64329562774164e-11,9.49529999816142e-09,"Down","COVID19_vs_Healthy"
"RAB11FIP4",50.5115601162102,-1.17093826477977,0.18032548343719,-6.4934708198779,8.38810193707672e-11,1.3963512671423e-08,"Down","COVID19_vs_Healthy"
"CNKSR1",31.7211041969678,-1.61808685484134,0.251083137320559,-6.44442662342361,1.16038256343052e-10,1.91133330026956e-08,"Down","COVID19_vs_Healthy"
