"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"FRMD4B",13.7546003601608,-1.56193018193322,0.564723757884666,-2.76583047928403,0.00567780417402216,0.0106161850177907,"Down","OtherVirus_vs_Healthy"
"KLHL8",4.96477886014946,-1.83502412150028,0.663546660567111,-2.76547864762358,0.00568393260600542,0.0106260836373281,"Down","OtherVirus_vs_Healthy"
"FCGR3A",12.6998355091465,2.29712249697796,0.83070707228007,2.76526175547413,0.00568771354620008,0.0106315913710345,"Up","OtherVirus_vs_Healthy"
"HMGN4",1.94027353058454,-2.02311664463613,0.731839300348786,-2.76442744147784,0.00570227875664599,0.0106572527099922,"Down","OtherVirus_vs_Healthy"
"SPTY2D1",12.7024000962816,-1.49414072444701,0.540540774722277,-2.76415914269314,0.00570696978204038,0.0106644549045171,"Down","OtherVirus_vs_Healthy"
"EMP2",51.4861579154247,-1.6471002705986,0.595888292950797,-2.7641091293173,0.00570784461735121,0.0106645248242323,"Down","OtherVirus_vs_Healthy"
"PROSC",11.5769321646908,-2.26447754738813,0.81927105579502,-2.76401507336382,0.00570949017422941,0.0106657903701837,"Down","OtherVirus_vs_Healthy"
"REXO2",17.172589156163,-1.89118946847513,0.68422821731613,-2.76397468068956,0.00571019699598843,0.0106657903701837,"Down","OtherVirus_vs_Healthy"
"TTI2",2.20240826610391,-2.28700339329715,0.827518057100403,-2.76369001700185,0.00571518049612999,0.0106735333066748,"Down","OtherVirus_vs_Healthy"
"PJA2",15.3472157516311,-1.5234420589973,0.551475704766128,-2.76248263673441,0.00573636127786689,0.0107115191896825,"Down","OtherVirus_vs_Healthy"
"PPIP5K2",4.97152749840091,-1.7216294667588,0.62328038635273,-2.76220703307112,0.00574120603930804,0.0107189941226489,"Down","OtherVirus_vs_Healthy"
"WNT7B",12.9957380902859,-2.02980387461773,0.734947712662519,-2.76183439943543,0.0057477623312752,0.0107296618717077,"Down","OtherVirus_vs_Healthy"
"DOCK9",19.1055818727076,-1.65736109090524,0.600129466986824,-2.76167257579709,0.00575061163478348,0.0107334074701697,"Down","OtherVirus_vs_Healthy"
"U2AF1L4",3.80718895445212,-1.45868975391334,0.528201505008022,-2.76161605009282,0.00575160720907614,0.010733692527489,"Down","OtherVirus_vs_Healthy"
"KLHL24",21.504618065249,-1.90744219925703,0.690721219624927,-2.76152251452881,0.00575325497094996,0.0107351944403,"Down","OtherVirus_vs_Healthy"
"LOC146880",24.5242623893384,-1.6343278398969,0.591848501340974,-2.76139558720507,0.00575549165688186,0.0107377946455304,"Down","OtherVirus_vs_Healthy"
"PPP6R3",22.0470026837708,-1.39883318159616,0.506611062631344,-2.76115798642574,0.0057596807144465,0.0107408894272187,"Down","OtherVirus_vs_Healthy"
"RASSF7",20.331899760134,-2.17664502459103,0.788306258608959,-2.76116674302691,0.00575952628104275,0.0107408894272187,"Down","OtherVirus_vs_Healthy"
"RHNO1",2.59429476878972,-2.33528070189534,0.845744547479475,-2.76121283767663,0.00575871340690708,0.0107408894272187,"Down","OtherVirus_vs_Healthy"
"FHOD3",4.60637785720678,-2.0415497141901,0.739730479361571,-2.75985615186774,0.00578268174962228,0.0107806253961996,"Down","OtherVirus_vs_Healthy"
"SLC45A4",27.0039737955432,-1.64724156846595,0.596848774668612,-2.75989771342087,0.00578194615504459,0.0107806253961996,"Down","OtherVirus_vs_Healthy"
"PHF10",4.71684966411809,-1.89623207995294,0.687101699691487,-2.75975460518343,0.00578447937116002,0.0107823982423482,"Down","OtherVirus_vs_Healthy"
