"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"PRKXP1",14.812449325342,-1.45935939975655,0.213339832055245,-6.84053880467403,7.88958719545934e-12,5.5491255137755e-10,"Down","COVID19_vs_OtherVirus"
"RNU4_2",229.700454082897,1.16838290578189,0.171142077249066,6.82697630274473,8.67230138895125e-12,6.07289315684191e-10,"Up","COVID19_vs_OtherVirus"
"LRRC37A8P",14.0701684272675,-3.27374840181874,0.479819733581782,-6.82287153423371,8.92384537393311e-12,6.22175175721467e-10,"Down","COVID19_vs_OtherVirus"
"SNORD96A",8.9587533759756,1.77691896900419,0.260513653877392,6.82082855373285,9.05169163322184e-12,6.28344820069652e-10,"Up","COVID19_vs_OtherVirus"
"SNORD116_16",23.4783631759063,2.16610822143804,0.318155331996376,6.8083354374294,9.87344404803091e-12,6.82421678228838e-10,"Up","COVID19_vs_OtherVirus"
"SNORD116_24",29.1507245663085,2.23047823782619,0.328130393761925,6.79753622410399,1.06423395816356e-11,7.32394800691352e-10,"Up","COVID19_vs_OtherVirus"
"ADAMTS1",23.1265791340438,-3.52387952211439,0.518543703598889,-6.7957232874632,1.07770457556815e-11,7.38482028048113e-10,"Down","COVID19_vs_OtherVirus"
"CDK10",47.1008644424286,-1.48550248826612,0.218791182052821,-6.78959030399809,1.1245242529971e-11,7.67271548006481e-10,"Down","COVID19_vs_OtherVirus"
"E2F1",17.5709328790469,-2.59390870438052,0.382220588722484,-6.78641805521331,1.14951745659864e-11,7.8098705157676e-10,"Down","COVID19_vs_OtherVirus"
"SPATA31D1",14.8721008012209,-3.5886275135099,0.529123597663578,-6.78221029898497,1.18351023165205e-11,8.0067476095579e-10,"Down","COVID19_vs_OtherVirus"
"IFIT3",334.664603419443,-1.5028122048582,0.222111112189642,-6.76603790797769,1.3235687954107e-11,8.91649763186806e-10,"Down","COVID19_vs_OtherVirus"
"FLNC",25.8292132376784,-1.9256300379117,0.284677507600189,-6.76425072758512,1.34000852573902e-11,8.989317698298e-10,"Down","COVID19_vs_OtherVirus"
"ALG9",10.5892197458275,1.97950319107661,0.293579130228355,6.74265636503823,1.55516727729006e-11,1.0389037970382e-09,"Up","COVID19_vs_OtherVirus"
"CSF1R",21.2238676922769,-2.11178297995034,0.313398449490256,-6.73833257115714,1.6021452899102e-11,1.06582715411276e-09,"Down","COVID19_vs_OtherVirus"
"AMIGO1",12.4251812661273,-3.36034774843741,0.499696950950478,-6.72477136801749,1.75868367563025e-11,1.1555203113215e-09,"Down","COVID19_vs_OtherVirus"
"ROBO3",7.24230013164528,-3.12436516773039,0.464586092629466,-6.72505100195121,1.75530948433072e-11,1.1555203113215e-09,"Down","COVID19_vs_OtherVirus"
"SNORA74B",28.9261546091211,1.47808235055054,0.219758339462658,6.72594429938211,1.74457296306439e-11,1.1555203113215e-09,"Up","COVID19_vs_OtherVirus"
"SNORA13",10.1434140717766,1.78625018535818,0.265650294374096,6.72406627505083,1.76721987376411e-11,1.15637018461139e-09,"Up","COVID19_vs_OtherVirus"
"MSN",136.165904012059,-1.05696841896234,0.157513673405796,-6.71032803761306,1.94187368525671e-11,1.26546756158402e-09,"Down","COVID19_vs_OtherVirus"
"SCARNA21",36.1950310614395,1.76627279297957,0.263445848749633,6.70450037972759,2.02096629322982e-11,1.31165641616697e-09,"Up","COVID19_vs_OtherVirus"
"VTRNA1_1",307.652049262469,1.24574353194139,0.18638964764426,6.68354464792483,2.33230756169562e-11,1.50759605384746e-09,"Up","COVID19_vs_OtherVirus"
"SNORD91B",6.9556577879067,2.31924623976136,0.34754651218292,6.67319670450527,2.50290549916544e-11,1.61134633869659e-09,"Up","COVID19_vs_OtherVirus"
"SNORD18A",11.2989736592101,1.7398762303432,0.261106384573397,6.663476395592,2.67425014696775e-11,1.71474208218823e-09,"Up","COVID19_vs_OtherVirus"
"SNORA6",28.2759766748288,1.65834281943304,0.249213804483858,6.65429759345635,2.84656192808708e-11,1.81792830975353e-09,"Up","COVID19_vs_OtherVirus"
"NKD1",26.8922820685123,-2.0300104106173,0.305653615088997,-6.6415390180359,3.10424549552839e-11,1.97459695544248e-09,"Down","COVID19_vs_OtherVirus"
"RBL2",23.7690989103801,1.40585486472986,0.211735072065852,6.63968822459712,3.14347348937388e-11,1.99161498933902e-09,"Up","COVID19_vs_OtherVirus"
"ACTA2",30.0105600222599,1.75453619500929,0.264535835159861,6.63250857468521,3.30029162207639e-11,2.0827057722558e-09,"Up","COVID19_vs_OtherVirus"
"SEPT10",45.1848787415565,1.49758743690427,0.225916150448431,6.62895252920892,3.38077273935418e-11,2.1250951793909e-09,"Up","COVID19_vs_OtherVirus"
"SCCPDH",49.1425066411096,-1.99840313395815,0.301902807623678,-6.61935922255205,3.6075921583182e-11,2.25877711371405e-09,"Down","COVID19_vs_OtherVirus"
"SNORA81",2.14594865777862,2.49542397116189,0.377265989028043,6.61449492860699,3.72822438446852e-11,2.3251886922822e-09,"Up","COVID19_vs_OtherVirus"
"SNORA77",11.5083920871688,1.78278873580259,0.269567070232921,6.61352565898409,3.75272915473006e-11,2.33136473480234e-09,"Up","COVID19_vs_OtherVirus"
"C1QTNF9",7.25288203980246,-3.77092899453791,0.571507530030715,-6.59821401536958,4.16140265370335e-11,2.5481235123477e-09,"Down","COVID19_vs_OtherVirus"
"CCL8",8.40219743305912,-3.39679788793653,0.514816980844383,-6.5980688561695,4.1654781205233e-11,2.5481235123477e-09,"Down","COVID19_vs_OtherVirus"
"EPHX1",46.0343618470902,1.33722422756189,0.202627026436399,6.59943666488942,4.127230208382e-11,2.5481235123477e-09,"Up","COVID19_vs_OtherVirus"
"SLC39A3",31.4200773802069,-1.90270260950247,0.288357063924255,-6.59842552011236,4.15547146283019e-11,2.5481235123477e-09,"Down","COVID19_vs_OtherVirus"
"SCARNA5",68.1981349228452,1.24329792327783,0.188582662835716,6.59285378932704,4.31451439167701e-11,2.62921896097386e-09,"Up","COVID19_vs_OtherVirus"
"ATAD3A",38.5268157425582,-1.67133583786668,0.253877758107434,-6.58323064740244,4.60334169820291e-11,2.79456097161626e-09,"Down","COVID19_vs_OtherVirus"
