"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0141060","disruption of anatomical structure in another organism","19/694","57/12561",0.333333333333333,6.03314121037464,9.2099260746785,8.73864258758646e-11,3.34769453309903e-08,2.25189722512457e-08,"CXCL8/CXCL9/CXCL11/CCL17/GBP2/PRF1/S100A12/CCL8/GBP7/TREM1/MPO/KRT6A/GZMB/RNASE7/STATH/GBP5/GBP1/CXCL10/CHGA",19
"GO:0071216","cellular response to biotic stimulus","35/694","189/12561",0.185185185185185,3.3517451168748,7.87780599087463,2.02888673334982e-10,6.62016975231451e-08,4.45319659475923e-08,"PLAA/GHSR/PDE4B/SBNO2/CXCL8/IL10/IL18R1/CARD16/CXCL9/CD200/MMP8/IRAK2/TP53/CD80/CD86/GBP2/CCL2/NLRP3/IL6/SMC1A/TNIP3/SERPINE1/CSF3/TIGAR/IL1B/TNFAIP3/DAB2IP/IL36RN/GBP5/CXCL10/CD274/TNF/BPI/ZFP36/IL18RAP",35
"GO:0050900","leukocyte migration","43/694","268/12561",0.16044776119403,2.90401200051615,7.61924995685573,2.15308924704396e-10,6.62016975231451e-08,4.45319659475923e-08,"CHST2/FFAR2/PDE4B/MSN/VEGFA/CMKLR1/CD69/MYO1G/PDGFB/CXCR2/CXCL8/CSF1R/IL10/CXCL9/CD200/CXCL11/SLC8B1/AIF1/CCL2/SLIT2/PADI2/PLVAP/IL6/EDN1/TNFAIP6/S100A12/CCL8/S100A9/ITGB2/SERPINE1/JAM3/TREM1/C3AR1/CSF1/PLCB1/S1PR1/PIP5K1C/SPN/ANKRD22/CXCL10/TNF/CHGA/ITGA7",43
"GO:0071222","cellular response to lipopolysaccharide","32/694","162/12561",0.197530864197531,3.57519479133312,7.97771185858578,2.19939194429053e-10,6.62016975231451e-08,4.45319659475923e-08,"PLAA/GHSR/PDE4B/SBNO2/CXCL8/IL10/IL18R1/CARD16/CXCL9/CD200/MMP8/IRAK2/CD80/CD86/GBP2/CCL2/NLRP3/IL6/TNIP3/SERPINE1/CSF3/IL1B/TNFAIP3/DAB2IP/IL36RN/GBP5/CXCL10/CD274/TNF/BPI/ZFP36/IL18RAP",32
"GO:0060326","cell chemotaxis","38/694","221/12561",0.171945701357466,3.1121180904195,7.66056562006821,3.22829761231231e-10,9.06936409218938e-08,6.10069874384252e-08,"FFAR2/PDE4B/VEGFA/NRP1/CMKLR1/PDGFB/CXCR2/CXCL8/CSF1R/IL10/CXCL9/HBEGF/CXCL11/FGF2/SLC8B1/AIF1/CCL17/CCL2/SLIT2/PADI2/IL6/EDN1/TNFAIP6/S100A12/CCL8/S100A9/ITGB2/SERPINE1/JAM3/TREM1/C3AR1/CSF1/PDGFRB/CCRL2/PIP5K1C/KDR/CXCL10/CHGA",38
"GO:0009887","animal organ morphogenesis","57/694","431/12561",0.132250580046404,2.39365927372172,7.11981857838053,6.01336379224934e-10,1.58376968878367e-07,1.06535603297915e-07,"SNAI1/SHH/FGFR3/DLL4/MYBPC3/INHBA/MSN/VEGFA/IRX1/NRP1/CLDN5/NRL/CSF3R/LRP2/CSF1R/RYR2/TULP1/NRP2/EFNA5/CRB2/SCN5A/PTCH1/PRICKLE1/FGF2/COL18A1/DCHS1/CCL2/SLIT2/MYH7/SPRY1/TEK/MYH6/EDN1/COL2A1/BMP4/LRRK2/ITGAX/TBX2/SEMA6A/WNT2B/SLC6A4/FLI1/SERPINE1/SCRIB/NKD1/TTN/BCOR/MYL2/COL11A2/S1PR1/AQP1/MMP13/SP6/MYO6/TNF/CALB1/TGFBR3",57
"GO:0071219","cellular response to molecule of bacterial origin","32/694","169/12561",0.189349112426035,3.42710979997613,7.68185592291374,6.81135297761177e-10,1.68841420280329e-07,1.13574736899126e-07,"PLAA/GHSR/PDE4B/SBNO2/CXCL8/IL10/IL18R1/CARD16/CXCL9/CD200/MMP8/IRAK2/CD80/CD86/GBP2/CCL2/NLRP3/IL6/TNIP3/SERPINE1/CSF3/IL1B/TNFAIP3/DAB2IP/IL36RN/GBP5/CXCL10/CD274/TNF/BPI/ZFP36/IL18RAP",32
"GO:0007186","G protein-coupled receptor signaling pathway","61/694","482/12561",0.12655601659751,2.29059095746589,6.98716067225678,8.62704612601221e-10,2.01968735416752e-07,1.35858523037308e-07,"GHSR/FFAR2/CNGB1/PDE4B/CRHR2/FLNA/CA2/VEGFA/RGS7BP/ADGRE3/RGS16/FZD7/SH2B3/PNOC/CMKLR1/SPHK1/CXCR2/CXCL8/PLEK/P2RY14/CXCL9/CXCL11/PROK2/DGKI/F2RL3/PIK3R5/GPR34/CCL2/SLIT2/PADI2/EDN1/ESR1/LRRK2/RASD1/CCL8/GPR65/RGS19/ADGRE1/SERPINE1/SLC39A14/GPR132/KCTD8/KLK6/HTR1F/C3AR1/PLCB1/GPER1/S1PR1/PDGFRB/HCAR3/CCRL2/OPRL1/RASGRP4/OR2W5/RGS6/CXCL10/ADGRL1/FCN1/CHGA/ADRA2B/PLCB3",61
"GO:0030595","leukocyte chemotaxis","31/694","162/12561",0.191358024691358,3.46346995410396,7.63159879488227,9.6195125787249e-10,2.13350663193404e-07,1.43514816442633e-07,"FFAR2/PDE4B/VEGFA/CMKLR1/PDGFB/CXCR2/CXCL8/CSF1R/IL10/CXCL9/CXCL11/SLC8B1/AIF1/CCL2/SLIT2/PADI2/IL6/EDN1/TNFAIP6/S100A12/CCL8/S100A9/ITGB2/SERPINE1/JAM3/TREM1/C3AR1/CSF1/PIP5K1C/CXCL10/CHGA",31
"GO:0050866","negative regulation of cell activation","30/694","154/12561",0.194805194805195,3.52586174632284,7.62676963307293,1.14926487442522e-09,2.42150109041395e-07,1.62887370165502e-07,"IFNL1/MILR1/IL4I1/PAG1/INHBA/SH2B3/CD69/PDGFB/MNDA/IL10/SERPINE2/CD200/FGR/CD80/CD86/CTLA4/THBD/PDCD1/BMP4/SFRP1/SCRIB/CST7/GPER1/TNFAIP3/SPN/ILDR2/LILRB4/CD274/BPI/CR1",30
"GO:0050865","regulation of cell activation","57/694","449/12561",0.126948775055679,2.297699659185,6.77163457462143,2.83347985971395e-09,5.68584958515933e-07,3.82470645893822e-07,"IFNL1/MILR1/SHH/IL4I1/FLNA/PAG1/IL27/INHBA/NR4A3/SH2B3/CD69/SPHK1/PDGFB/MNDA/IL10/PLEK/IL2RA/SERPINE2/CD200/FGR/THEMIS2/MMP8/CD80/CD86/SIRPB1/AIF1/CCDC88B/NFKBID/CTLA4/CCL2/THBD/PDCD1/NLRP3/IL6/SMARCB1/BMP4/SFRP1/LRRK2/GPR65/SCRIB/PRLR/NFAM1/CST7/IL1B/GPER1/TNFSF14/TNFAIP3/CLEC4D/SPN/EMILIN2/ILDR2/LILRB4/KLRD1/CD274/TNF/BPI/CR1",57
"GO:0071621","granulocyte chemotaxis","21/694","85/12561",0.247058823529412,4.47162230886591,7.7661957707156,4.3873230860588e-09,8.403717947569e-07,5.65293784715226e-07,"PDE4B/VEGFA/CMKLR1/CXCR2/CXCL8/CSF1R/CXCL9/CCL2/SLIT2/EDN1/TNFAIP6/S100A12/CCL8/S100A9/ITGB2/JAM3/TREM1/C3AR1/CSF1/PIP5K1C/CXCL10",21
"GO:0001906","cell killing","27/694","136/12561",0.198529411764706,3.59326792676725,7.35313819186498,5.08486211966219e-09,9.31635172706803e-07,6.2668401776335e-07,"SERPINB9/CXCL8/CXCL9/SLAMF7/CXCL11/CCL17/GBP2/PRF1/S100A12/CCL8/ITGAM/GBP7/TREM1/MPO/FCGR3B/SLC22A13/KRT6A/GZMB/RNASE7/STATH/GBP5/GBP1/KLRD1/CXCL10/FCGR2A/CHGA/CR1",27
"GO:0042742","defense response to bacterium","30/694","164/12561",0.182926829268293,3.31087017642511,7.20349493058804,5.45648017218524e-09,9.58066976899525e-07,6.44463927467814e-07,"NLRC4/ZNFX1/SLC11A1/IL18R1/FGR/APOL1/GBP2/IL6/FGB/S100A12/S100A9/GBP7/SERPINE1/TREM1/GBP4/IL1B/MPO/KRT6A/SPN/RNASE7/EMILIN2/RASGRP4/AQP1/STATH/GBP5/GBP1/OPTN/BPI/CHGA/IL18RAP",30
"GO:0071396","cellular response to lipid","56/694","450/12561",0.124444444444444,2.25237271853987,6.54265374741731,8.11159820609554e-09,1.36729099361946e-06,9.19737079959682e-07,"PLAA/GHSR/FFAR2/SLC5A5/PDE4B/LMO3/INHBA/NR4A3/FZD7/SBNO2/SPP1/CXCL8/IRS1/IL10/IL18R1/CARD16/CXCL9/CD200/PTCH1/MMP8/IRAK2/CD80/CD86/PID1/GBP2/CCL2/PADI2/NLRP3/IL6/EDN1/ESR1/SFRP1/TBX2/TNIP3/SLC6A4/SERPINE1/TESC/E2F1/PMEPA1/CSF3/NCF1/IL1B/PLCB1/GPER1/TNFAIP3/DAB2IP/IL36RN/CYP24A1/AQP1/GBP5/CXCL10/CD274/TNF/BPI/ZFP36/IL18RAP",56
