"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140888","interferon-mediated signaling pathway","6/81","70/10540",0.0857142857142857,11.1534391534392,7.50042685157812,1.51339106782709e-05,0.000435856627534201,5.77007511137504e-05,"OASL/ISG15/PARP14/IFITM1/ZBP1/USP18",6
"GO:0032102","negative regulation of response to external stimulus","10/81","244/10540",0.040983606557377,5.33292855697227,6.02614121630977,1.63255324704318e-05,0.000462467542768953,6.12236292802618e-05,"SERPING1/CCL2/ISG15/TNF/CARD16/CD69/TNFAIP6/IL1R2/PARP14/USP18",10
"GO:0001818","negative regulation of cytokine production","9/81","198/10540",0.0454545454545455,5.91470258136925,6.143625011055,1.97110569044088e-05,0.000549366231142233,7.27276865164789e-05,"SRGN/TNF/CD274/CARD16/IL1R2/CMKLR1/XAF1/RPS6KA4/GBP1",9
"GO:0034612","response to tumor necrosis factor","8/81","159/10540",0.050314465408805,6.5470921655408,6.20213876250408,2.84379827949662e-05,0.000780013242376215,0.000103261823087106,"GBP2/CCL2/TNF/CARD16/TNFSF13B/AIM2/CXCL8/GBP1",8
"GO:0035456","response to interferon-beta","4/81","24/10540",0.166666666666667,21.6872427983539,8.92853229776543,3.05985551636086e-05,0.000826160989417431,0.000109371078971432,"MNDA/XAF1/IFITM1/AIM2",4
"GO:0030593","neutrophil chemotaxis","5/81","49/10540",0.102040816326531,13.2779037540942,7.5807286476986,3.46205166859184e-05,0.000920373120511799,0.000121843324165743,"CXCL9/CXCR2/TNFAIP6/CXCL8/CXCL10",5
"GO:0071674","mononuclear cell migration","7/81","125/10540",0.056,7.28691358024691,6.22242957719915,4.68465257024848e-05,0.00122652721839233,0.00016237344413707,"CCL2/TNF/CD69/CXCR2/CMKLR1/CXCL11/CXCL10",7
"GO:0019722","calcium-mediated signaling","7/81","126/10540",0.0555555555555556,7.22908093278464,6.19009892586174,4.92980819618276e-05,0.0012714490392543,0.000168320406145649,"PLEK/TNF/CXCR2/CMKLR1/FCGR3A/CXCL8/GBP1",7
"GO:0060337","type I interferon-mediated signaling pathway","5/81","55/10540",0.0909090909090909,11.8294051627385,7.08596266736969,6.09246649877694e-05,0.00154820325145391,0.00020495843092034,"OASL/ISG15/IFITM1/ZBP1/USP18",5
"GO:0071357","cellular response to type I interferon","6/81","90/10540",0.0666666666666667,8.67489711934156,6.43476664914902,6.36134936710219e-05,0.0015931031458482,0.000210902490199961,"OASL/IFIT1/ISG15/IFITM1/ZBP1/USP18",6
"GO:0060759","regulation of response to cytokine stimulus","7/81","132/10540",0.053030303030303,6.90048634493079,6.00327535319133,6.63185213878123e-05,0.00163712007083057,0.000216729657834347,"ISG15/IFIH1/CARD16/IL1R2/PARP14/ZBP1/USP18",7
"GO:0002252","immune effector process","11/81","350/10540",0.0314285714285714,4.08959435626102,5.17303627081973,6.98983974880807e-05,0.00170118916703385,0.000225211426242971,"MILR1/FFAR2/SERPING1/TNF/CD274/CD69/FCGR3A/DDX60/RSAD2/GZMB/SLAMF7",11
"GO:0002832","negative regulation of response to biotic stimulus","6/81","92/10540",0.0652173913043478,8.48631239935588,6.34661871304949,7.19727453951549e-05,0.00172701962103449,0.00022863098327914,"SERPING1/ISG15/CD274/CARD16/PARP14/USP18",6
"GO:0050777","negative regulation of immune response","7/81","134/10540",0.0522388059701493,6.79749401142436,5.94357746348696,7.29585835274986e-05,0.00172701962103449,0.00022863098327914,"SERPING1/ISG15/CD274/CD69/SAMSN1/PARP14/USP18",7
"GO:0002687","positive regulation of leukocyte migration","6/81","93/10540",0.0645161290322581,8.39506172839506,6.30354141626007,7.64690160719019e-05,0.00176184613029662,0.00023324148043841,"CCL2/TNF/CMKLR1/CCL8/CXCL8/CXCL10",6
"GO:0034340","response to type I interferon","6/81","93/10540",0.0645161290322581,8.39506172839506,6.30354141626007,7.64690160719019e-05,0.00176184613029662,0.00023324148043841,"OASL/IFIT1/ISG15/IFITM1/ZBP1/USP18",6
"GO:0016032","viral process","10/81","295/10540",0.0338983050847458,4.41096463695334,5.22912921584222,8.20757289411792e-05,0.00186614288960997,0.000247048776165806,"OASL/IFIT1/CCL2/ISG15/IFIH1/TNF/IFITM1/CCL8/RSAD2/CXCL8",10
"GO:1990266","neutrophil migration","5/81","59/10540",0.0847457627118644,11.0274115923833,6.79689588119959,8.55995067848564e-05,0.00192098633408093,0.000254309209390242,"CXCL9/CXCR2/TNFAIP6/CXCL8/CXCL10",5
"GO:0001960","negative regulation of cytokine-mediated signaling pathway","5/81","61/10540",0.0819672131147541,10.6658571139445,6.66258094494549,0.000100506116205882,0.00222659703594569,0.000294767392040253,"ISG15/CARD16/IL1R2/PARP14/USP18",5
"GO:0007186","G protein-coupled receptor signaling pathway","11/81","367/10540",0.0299727520435967,3.90015810542604,4.97653788609553,0.000106799279647958,0.00233606525609711,0.000309259310085774,"FFAR2/PLEK/CCL2/CXCL9/CXCR2/CMKLR1/PROK2/CXCL11/CCL8/CXCL8/CXCL10",11
"GO:0050865","regulation of cell activation","11/81","372/10540",0.0295698924731183,3.8477366255144,4.92096926117413,0.000120409377108299,0.00260084254553925,0.00034431177347289,"MILR1/PLEK/SOCS1/CCL2/MNDA/TNF/CD274/TNFSF13B/CD69/SAMSN1/FCGR3A",11
"GO:0060761","negative regulation of response to cytokine stimulus","5/81","64/10540",0.078125,10.1658950617284,6.47238366449784,0.000126513899341402,0.00269896318594991,0.000357301445520524,"ISG15/CARD16/IL1R2/PARP14/USP18",5
"GO:0008285","negative regulation of cell population proliferation","11/81","377/10540",0.0291777188328912,3.7967056357861,4.86635290029691,0.000135476397072666,0.00285491724562885,0.000377947377724475,"NOX4/CCL2/MNDA/TNF/CD274/MYOCD/SLC6A4/IFITM1/CCL8/IFIT3/CXCL8",11
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","9/81","255/10540",0.0352941176470588,4.59259259259259,5.11061355490452,0.000140737466780605,0.00293005232044441,0.000387894112448625,"FFAR2/CLEC2B/LCP2/MNDA/CD274/TNIP3/CMKLR1/FCGR3A/GBP1",9
"GO:0001562","response to protozoan","3/81","14/10540",0.214285714285714,27.8835978835979,8.85761614963221,0.000149743695872885,0.00304420125256877,0.000403005685168466,"GBP2/GBP4/GBP1",3
"GO:0042832","defense response to protozoan","3/81","14/10540",0.214285714285714,27.8835978835979,8.85761614963221,0.000149743695872885,0.00304420125256877,0.000403005685168466,"GBP2/GBP4/GBP1",3
"GO:0032611","interleukin-1 beta production","5/81","67/10540",0.0746268656716418,9.71070573060623,6.29437078103703,0.000157394121663575,0.00310540841095909,0.000411108576783628,"TNF/CARD16/IL1R2/GBP5/AIM2",5
"GO:0032651","regulation of interleukin-1 beta production","5/81","67/10540",0.0746268656716418,9.71070573060623,6.29437078103703,0.000157394121663575,0.00310540841095909,0.000411108576783628,"TNF/CARD16/IL1R2/GBP5/AIM2",5
"GO:0071622","regulation of granulocyte chemotaxis","4/81","36/10540",0.111111111111111,14.4581618655693,7.11798013176448,0.00015814579870625,0.00310540841095909,0.000411108576783628,"CCL2/TNFAIP6/CMKLR1/CXCL8",4
"GO:0001819","positive regulation of cytokine production","10/81","322/10540",0.031055900621118,4.04110114255042,4.87722713352991,0.000168874605782202,0.00327882380664769,0.000434066122806341,"FFAR2/ISG15/IFIH1/TNF/CD274/CLEC4E/FCGR3A/GBP5/RSAD2/AIM2",10
"GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","3/81","15/10540",0.2,26.0246913580247,8.53493930983671,0.000186143845886778,0.00357396184102613,0.000473137884459284,"CXCL9/CXCL11/CXCL10",3
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","7/81","156/10540",0.0448717948717949,5.83887306109528,5.3582295976689,0.000188968362042913,0.00358832230340828,0.000475038990037231,"GBP2/OASL/IFIH1/TNF/DDX60/GBP5/RSAD2",7
"GO:0062208","positive regulation of pattern recognition receptor signaling pathway","5/81","70/10540",0.0714285714285714,9.29453262786596,6.12723770765536,0.000193733260589393,0.00363881602498338,0.000481723586478714,"GBP2/OASL/DDX60/GBP5/RSAD2",5
"GO:0002695","negative regulation of leukocyte activation","6/81","111/10540",0.0540540540540541,7.0337003670337,5.62368550111258,0.000203568186567757,0.00378242824074284,0.000500735647314661,"MILR1/SOCS1/MNDA/CD274/CD69/SAMSN1",6
"GO:0002694","regulation of leukocyte activation","10/81","337/10540",0.029673590504451,3.86123017181375,4.69786933580301,0.000244163161315501,0.00448844619950198,0.000594201626599335,"MILR1/SOCS1/CCL2/MNDA/TNF/CD274/TNFSF13B/CD69/SAMSN1/FCGR3A",10
"GO:0050920","regulation of chemotaxis","6/81","115/10540",0.0521739130434783,6.7890499194847,5.49307227262,0.000246886980675482,0.00449074423797087,0.000594505851744409,"CCL2/CXCR2/TNFAIP6/CMKLR1/CXCL8/CXCL10",6
"GO:0002688","regulation of leukocyte chemotaxis","5/81","74/10540",0.0675675675675676,8.79212545879212,5.9194119000118,0.00025174929247742,0.00453148726459357,0.000599899605309835,"CCL2/TNFAIP6/CMKLR1/CXCL8/CXCL10",5
"GO:0043065","positive regulation of apoptotic process","10/81","344/10540",0.0290697674418605,3.78265862761987,4.61765379691297,0.0002879531685092,0.00512972242457627,0.000679096790560731,"BCLAF1/CCL2/MNDA/TNF/CD274/G0S2/CASP5/ZBP1/BCL2A1/IFIT2",10
"GO:0007204","positive regulation of cytosolic calcium ion concentration","5/81","77/10540",0.0649350649350649,8.44957511624178,5.77358925115236,0.00030328054139849,0.00534764056669991,0.000707945819547585,"CCL2/CXCR2/CMKLR1/PROK2/CXCL8",5
"GO:0032612","interleukin-1 production","5/81","79/10540",0.0632911392405063,8.23566182215971,5.68070629072616,0.000341832108564615,0.00590685883599654,0.000781977765230034,"TNF/CARD16/IL1R2/GBP5/AIM2",5
