"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"APC2",43.5534683426682,-2.38207950442514,0.56475169558384,-4.21792359908286,2.46562327449394e-05,0.000559160478250453
"APOBEC3G",8.47185108775187,1.18209970311427,0.380218546555522,3.10900063614243,0.00187721314143394,0.015708358950352
"APOL1",260.938724211101,1.08076096644181,0.410806594882568,2.63082671968972,0.00851774530243353,0.0460877173210512
"APOL6",127.973969189876,1.20415990786564,0.271114658593227,4.44151531353504,8.9327588508235e-06,0.000243095322604672
"APRT",8.23527609689957,-1.27968901069904,0.313159666631512,-4.08637876155624,4.3815827841715e-05,0.000904525163676987
"APTX",15.760129217344,1.08519094578749,0.396007256606874,2.74033096031063,0.00613773450905244,0.03658217143619
"AQP9",42.9237080128385,3.67747070665181,0.837621061629986,4.39037516498876,1.13155262247046e-05,0.000296591883357081
"AR",12.9488187734024,-2.18558043487006,0.46184426165124,-4.73228881756788,2.2200222615305e-06,8.13557572562745e-05
"ARAP2",36.7455681836366,1.01132661744705,0.260432091873113,3.88326419441345,0.00010306347928249,0.00176063026617075
"ARAP3",18.3230445847091,-1.10771304968226,0.375984635212623,-2.9461657364159,0.00321739955676666,0.0232544426162978
"ARFGAP3",207.835715699998,-1.27273598012222,0.445842004027264,-2.8546793900657,0.00430802942850336,0.0284319040477523
"ARHGAP15",6.58841617670262,3.22080257124555,0.7222442956508,4.45943649626661,8.21754157641367e-06,0.000227187439200921
"ARHGAP19",6.41652204914666,-1.8869622358506,0.37669845072895,-5.00921156484485,5.46534680685144e-07,2.63143836411112e-05
"ARHGAP23",40.3150901383741,-1.07825225235235,0.230650899617213,-4.67482352829239,2.94206494379088e-06,0.000101627885740485
"ARHGAP25",25.0892339809545,1.58848378316588,0.516847514167927,3.07340896419553,0.00211628246149834,0.0170523109976962
"ARHGAP26",61.3053376098183,1.09455552919805,0.370713230395006,2.95256667271296,0.00315144006179317,0.0229259572696139
"ARHGAP9",62.1407079568553,1.80955881149268,0.633340568671255,2.85716548252881,0.00427442924682232,0.0282936839485092
"ARHGEF38",19.8245879782609,1.05102121167198,0.320906227038281,3.2751661486039,0.00105599846861363,0.0104141085761127
"ARID4A",62.5625363621759,1.63895728315353,0.260923320243596,6.2813752393746,3.35591051302859e-10,4.77393524617013e-08
"ARID4B",201.090096355835,1.61666379968086,0.230545455724259,7.0123429438334,2.34359878100678e-12,5.39303437135208e-10
"ARL4D",10.3150766172393,-1.0323664732189,0.368453790552983,-2.80188859414232,0.00508044144007466,0.0319967949351767
"ARL5A",54.1898821930305,2.420565322403,0.597832500231978,4.04890219495218,5.14584423262045e-05,0.00101541198678493
"ARMT1",7.40278816572589,1.10128020546022,0.350712001879621,3.14012694050382,0.00168874641819408,0.014583611452484
"ARRDC3",38.4200399792444,1.01828754427719,0.341954135158575,2.97784831233282,0.00290279606892915,0.0216346031784916
"ASGR1",31.9990297663871,-2.39204659069394,0.606979442317887,-3.94090215240136,8.11757359461009e-05,0.00144636886660656
"ASPG",2.11478625176833,-1.86521293549249,0.601008126375259,-3.10347373627338,0.00191263210113959,0.0159128287412236
"ATAD2",25.357136475224,1.44972685813793,0.444283215322572,3.26306915980464,0.0011021262054063,0.0107452154904659
"ATF3",39.5985893319835,2.00890139672741,0.409087878732198,4.91068423477415,9.07591379880849e-07,3.90164558032294e-05
"ATF7IP2",11.329488106386,1.23783629862743,0.394273434001281,3.13953767076127,0.0016921465675796,0.0146049142247576
"ATOH7",4.3430256647226,-3.41530681473685,0.734657187113202,-4.64884421556825,3.33800197690046e-06,0.000113303806799433
"ATP11C",6.9977585557258,1.13328988989769,0.407187099250288,2.78321659007443,0.00538228624204428,0.0331703693701826
"ATP2A2",467.92566762257,-2.55768860188702,0.249827487330371,-10.2378190215104,1.34228023038745e-24,5.2510002612757e-21
"ATP5G1",5.39079369246085,-1.13245953580712,0.319951933838659,-3.53946770135223,0.000400934829100369,0.00493696707526325
"ATP6V0A1",22.7226325695044,-1.71668545857346,0.304026647508323,-5.6464966891643,1.63750317651884e-08,1.40789284099818e-06
"ATRX",142.097420521721,1.13594584170424,0.16175796983407,7.02250308203964,2.17928195424584e-12,5.16687939697559e-10
"AXDND1",16.9974611641427,1.1404497782811,0.421802726908432,2.70375155381269,0.00685615305679278,0.0396324651025835
"AXIN1",29.1534650637868,-1.4264275950138,0.217599962210677,-6.55527501256067,5.55394264157186e-11,9.44653200601267e-09
"B2M",904.367203213442,1.11983553917703,0.224086305824219,4.99734035535162,5.81264242518666e-07,2.77305575211344e-05
"B3GALT5_AS1",9.09107767522578,1.74154067113179,0.63680807012856,2.73479679800572,0.00624187953699278,0.0369833135156619
"B3GNT5",44.5940941756579,1.12089544095289,0.331453162219815,3.3817611919766,0.000720227268038813,0.007682424192414
"B4GALT2",4.22610471896872,-1.13044836041742,0.340707754187583,-3.31794139265474,0.000906835098441392,0.00924440105564228
"BACH1",30.9371160495389,1.29441340627656,0.382261354956046,3.38620001602148,0.000708677104119994,0.00759546529128059
"BAMBI",9.80602111041591,-1.50088227710437,0.436337637646472,-3.43972682530863,0.000582301609653883,0.00652854788563704
"BATF2",10.433934771567,1.76900553870356,0.513030545479093,3.44814856404227,0.000564443478935639,0.00638180025894862
"BAZ1A",151.318321806964,1.37429232763357,0.259071246491573,5.30468875355596,1.12865404043124e-07,7.12144291317259e-06
"BAZ2B",181.956714581201,1.23341730947367,0.186513920882118,6.61300402479462,3.76598210907609e-11,6.85233581893286e-09
"BCAM",14.2063093056672,-1.40941869062004,0.358031028366399,-3.93658252763971,8.26502052593225e-05,0.00145971829785314
"BCAN",3.16637680789388,-1.72399042330414,0.466182193817217,-3.69810440246049,0.000217215551610406,0.00306767955920544
"BCL2A1",51.1146755594481,3.59974366364476,0.769307985416259,4.67919706006562,2.88000541508392e-06,0.000100147388300518
"BCL2L10",1.50456111799677,-3.40741341797215,0.692049345002359,-4.92365673427599,8.49417838758322e-07,3.74413812419443e-05
"BCL2L14",8.07097900908158,1.71900549401803,0.530670197612305,3.23931040739148,0.00119819095908245,0.0113076970846564
"BCL3",575.405796245103,2.69972603871917,0.66626938117543,4.0520037615361,5.07808484881985e-05,0.00100330646103956
"BCL7B",30.3934557753024,-1.42460056395408,0.231958945501454,-6.14160648503703,8.16910331324386e-10,1.01452483052095e-07
"BCL7C",18.6732720866242,-2.94109870424253,0.409006456622534,-7.19083685995898,6.4395389502683e-13,1.87944943677871e-10
"BCLAF1",193.667869383227,1.60361085669515,0.39938396579316,4.01521090990833,5.93926585597502e-05,0.00112788388488225
"BEND6",50.0893874743998,4.78569318086208,0.829061621820316,5.77242156060058,7.81403229744075e-09,7.64212358689705e-07
"BEST1",24.9956563205818,2.09844670418869,0.80282078582911,2.61384201957542,0.00895304237954867,0.0477821306804835
"BEST3",3.38659903659902,-2.70878686412188,0.669219429268291,-4.04768114261656,5.17275470201411e-05,0.00101687519569242
"BFSP1",1.94781303834207,-1.24042815643153,0.45216177493122,-2.74332821835772,0.00608198606481298,0.036366418778064
"BHLHE22",6.27670215645451,-2.70093931502314,0.556102953157709,-4.85690518219053,1.19234653843692e-06,4.83363695167383e-05
"BIK",4.00124993097883,-1.11837841472677,0.362262404155686,-3.08720530172966,0.0020204799991386,0.0165503467599382
"BIN2",23.3795495138912,1.83973814352614,0.527618664602372,3.48687085380616,0.000488707290867078,0.00576718830127303
"BIRC3",25.6810254300607,2.13841282172689,0.436560593317994,4.89831847962799,9.66602757971581e-07,4.08436633109418e-05
"BIRC5",1.69212885606694,-1.38413813115548,0.519730764260589,-2.66318299076382,0.0077405307663852,0.0430578405248873
"BISPR",10.4212262413948,1.85863609501532,0.441050928207341,4.21410766001509,2.50767654590708e-05,0.000567053794658294
"BLM",10.5857180766737,-1.85579485920601,0.563237320809721,-3.29487196718088,0.000984665316359739,0.00989598129119923
"BLOC1S4",5.8949088159611,-1.34835471605426,0.311326188595121,-4.33100319037982,1.48431530946985e-05,0.000370439648526065
"BLZF1",15.5428425383167,1.12228638064946,0.261133959097084,4.29774198855622,1.72546842119504e-05,0.000418633234299423
"BMI1",789.338566697954,2.32042460783118,0.746423863812467,3.1087224301475,0.00187898151544649,0.0157147529415856
"BMP1",7.39228905571424,-1.83503817258966,0.398281903397261,-4.60738526389768,4.07764070310418e-06,0.000132654722915123
"BMS1P6",5.66467556408129,1.2315778823838,0.400219377147547,3.07725700629873,0.00208915091485194,0.016894590964136
"BOD1",62.9546091949685,-1.63907009322195,0.594230828009762,-2.75830538565566,0.00581018902101006,0.0351849217495222
"BPHL",7.00358196447916,-1.08861925677656,0.288808763406703,-3.7693428825896,0.000163677904572756,0.00248904941764284
"BRCA2",8.06231926329744,1.58959890953547,0.501280202667669,3.17107857257493,0.00151874057598755,0.0135569038979197
"BRE_AS1",14.0599261242057,3.40695897186729,0.853314581835524,3.99261778058303,6.53478562560284e-05,0.00122024254736794
"BRIP1",5.946493496996,1.51401912390163,0.446019078949658,3.39451650244881,0.000687498965176081,0.00742055756413831
"BSPRY",22.7075505069313,-1.5328959736202,0.244629045638961,-6.26620591850135,3.69951053375803e-10,5.16874471716478e-08
"BST2",75.2260047049494,2.89062196450995,0.352702966433198,8.19562702787031,2.49290201688669e-16,1.62537211501012e-13
"BTN2A1",50.2589277892453,1.09748002471309,0.208769561549231,5.25689672655793,1.46506528348364e-07,8.92036636418366e-06
"BTN2A2",12.1884268428495,1.08095361817654,0.278777348272642,3.87748009253384,0.000105543960634282,0.00178739382684551
"BTN3A1",31.5168752635631,1.32533273298569,0.305001464126213,4.34533236351039,1.39064940294959e-05,0.000351548979924964
"BTN3A2",22.9487978517256,1.02731636512353,0.277537417586729,3.70154184634402,0.000214293304918295,0.00304820085804905
"BTN3A3",15.6803115735594,1.34344421424444,0.308682210072679,4.3521918996502,1.3478320693313e-05,0.000342767325815157
"BUB1",75.5563869723673,1.9471215825401,0.509920965684097,3.81847720249724,0.000134277990563518,0.00212888222623145
"BUD31",27.4266784252157,1.12087996963406,0.264375720573469,4.23972355404918,2.23795221308797e-05,0.000517933907511128
"BZW1",413.010743976421,2.68639850331668,0.561314411864139,4.78590687596116,1.70216972532366e-06,6.48066955276512e-05
"C10orf2",16.2614341392546,-2.2327059076032,0.35069388806043,-6.36653783717631,1.93342621635155e-10,2.90906283014125e-08
