"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"TNIP1",124.320662286928,0.616127201063242,0.311766440543595,1.97624606416574,0.0481269150321423,0.151527156221924,"Not significant"
"TNIP2",21.633523053451,0.0750994204788503,0.213054697752567,0.352488920784406,0.724471625921624,0.840178759536172,"Not significant"
"TNIP3",8.31717522164131,1.57915525029606,0.613426359585692,2.57431919189554,0.0100437566832641,0.0517840871761832,"Not significant"
"TNK1",9.16179885213694,-1.05142432479906,0.271661311937533,-3.87034987536551,0.000108679266201545,0.00182520488476278,"Down"
"TNK2",46.5909543003216,-0.557034882465504,0.315274116107584,-1.76682719578356,0.0772571726820923,0.208902754126383,"Not significant"
"TNKS",32.6983420648453,0.2457748338286,0.223750991605343,1.09843014355039,0.2720167058161,0.467081906354695,"Not significant"
"TNKS1BP1",83.8662158100117,-0.716222011261777,0.22976353162694,-3.11721362476567,0.00182569225792299,0.0153935979320796,"Not significant"
"TNKS2",42.7638638355404,0.736856913371842,0.197550225700091,3.72997252096536,0.00019150065464636,0.00281371102714201,"Not significant"
"TNNC1",1.76276896335514,-1.08252585820926,0.537862100675892,-2.01264572619809,0.0441519128512455,0.143700234186298,"Not significant"
"TNNC2",1.84334799931475,-0.201563206752049,0.489749836152548,-0.411563602216838,0.680659314350282,0.809533856895592,"Not significant"
"TNNI2",65.3403838778004,-1.17623639475744,0.421677848982998,-2.78941945277488,0.00528026290084537,0.0327731344604718,"Down"
"TNNI3",12.652952937235,1.05284761037012,0.477774164801521,2.20365119743864,0.0275488837587401,0.104076516913753,"Not significant"
"TNNT1",2.60634886117867,-0.416083300513409,0.519943099090565,-0.800247760266811,0.423567263280719,0.615125803788092,"Not significant"
"TNNT2",3.27450374762119,0.129034333475772,0.647308703663247,0.199339716499317,0.841997013260471,0.914398588625154,"Not significant"
"TNNT3",6.50360870839849,0.201519902138479,0.488081216604448,0.412881904246267,0.67969313968161,0.808870503440402,"Not significant"
"TNPO1",54.4917938798384,0.582468150592353,0.270526309893866,2.15309243238068,0.0313114148907613,0.113732827346943,"Not significant"
"TNPO2",28.6682869053176,-0.310628825567506,0.214086595067292,-1.45094944160268,0.146793939062384,0.31691936512806,"Not significant"
"TNPO3",24.3252414468131,-0.241756394606548,0.19748021550699,-1.22420564503582,0.220874660200256,0.409168543010963,"Not significant"
"TNRC18",156.038773685457,-0.403295994616756,0.176601128554307,-2.28365468509868,0.0223918331956053,0.0904458972237561,"Not significant"
"TNRC18P1",2.05404454934002,-0.305669442892423,0.559796440567503,-0.546036774693575,0.585040658802208,0.743222246608349,"Not significant"
"TNRC6A",65.8125896475602,0.157606697441511,0.18528446499916,0.850620139374476,0.394980398374335,0.590372654174697,"Not significant"
"TNRC6B",133.60590251157,0.364082327999096,0.16772145362152,2.17075585822601,0.0299496323044061,0.110038001009473,"Not significant"
"TNRC6C",32.9832967310042,0.793357121377068,0.265934352272985,2.98328183100872,0.00285175265715919,0.0213798841972957,"Not significant"
"TNRC6C_AS1",2.82632377362439,-0.0504341268236319,0.532875913001629,-0.0946451614589637,0.92459667715807,0.96252406669564,"Not significant"
"TNS1",40.1439341986239,-0.429032335268204,0.278666816785022,-1.53958889048201,0.123660595180422,0.284313986685753,"Not significant"
"TNS2",9.40582367997883,-0.341903182655174,0.339510425951565,-1.00704766782022,0.313911867780653,0.511578157492974,"Not significant"
"TNS3",13.0860500644914,-0.181558319594054,0.291936353352984,-0.621910623698617,0.534000639097061,0.706940947596515,"Not significant"
"TNS4",16.8309425127026,-0.619497258492718,0.306592773879442,-2.02058662588152,0.0433225745443368,0.141920118448783,"Not significant"
"TNXB",8.28586524216356,-0.419997755716279,0.499539431123157,-0.840769976399985,0.400476809909737,0.595181035375398,"Not significant"
"TOB1",44.9893269079544,0.726667131606774,0.225551788860727,3.22173073987666,0.00127418818373742,0.011882298390419,"Not significant"
"TOB1_AS1",2.28543910672952,0.0771640785895037,0.544160923159813,0.141803785066796,0.887234994234162,0.941506387479735,"Not significant"
"TOB2",41.2611769090258,-0.129265537851485,0.1670641141693,-0.773748081652589,0.439079780356669,0.627749694200197,"Not significant"
"TOE1",7.24718240280319,-0.361288033432406,0.306902443889866,-1.17720806929141,0.239112468708227,0.429677527600635,"Not significant"
"TOLLIP",12.1337909389926,-0.671660687247479,0.249162662922585,-2.69567149174418,0.0070246907517737,0.0403532896049027,"Not significant"
"TOM1",52.6699077860856,0.142335356410043,0.264671926460498,0.537780331724327,0.590728712099607,0.746238090599914,"Not significant"
"TOM1L1",11.3339301480461,-0.432184285804088,0.277253639728299,-1.55880473283459,0.119042603695225,0.276951927240988,"Not significant"
"TOM1L2",33.7523274237846,-0.326762678261151,0.278859040114048,-1.17178441885015,0.241283619836252,0.431827710113314,"Not significant"
"TOMM20",16.1068539092417,0.0533391153722391,0.319325875768861,0.167036621269138,0.867341234091894,0.930109349716966,"Not significant"
"TOMM22",18.5212608797268,-1.20712895670749,0.217098140314488,-5.56029155735209,2.69324342843359e-08,2.11778257126276e-06,"Down"
"TOMM34",12.2251749217227,-0.334834063700302,0.290577133200206,-1.15230699681246,0.249194942817763,0.440560667180246,"Not significant"
"TOMM40",7.0437634980971,-0.838518703667737,0.254257166780868,-3.29791570591367,0.000974053711736036,0.00980192442523826,"Not significant"
"TOMM40L",6.40718093550499,0.44426737736614,0.608340698650016,0.730293696200213,0.465210680629716,0.650134378122387,"Not significant"
"TOMM5",13.8623495586029,-0.525636824179546,0.321061472358055,-1.63718436945728,0.101591951980952,0.24965737178066,"Not significant"
"TOMM6",11.5553698208116,-0.413681546359354,0.279629604256113,-1.47939109472995,0.139035818818559,0.306384403282326,"Not significant"
"TOMM7",12.5776763077473,0.0690580480559959,0.319509488459573,0.21613770654806,0.828880408706672,0.904990275986743,"Not significant"
"TOMM70A",18.2660103317985,0.103809282284396,0.230049767837767,0.451247063885774,0.651811492758205,0.789971842556564,"Not significant"
"TONSL",19.8366847609241,-1.49736722005744,0.50738065635939,-2.95117127799374,0.00316571316192942,0.0229657299758329,"Down"
"TOP1",114.793864431265,1.16542211112371,0.237175627927497,4.91375155747444,8.93499608462512e-07,3.87298666848238e-05,"Up"
"TOP1MT",11.7645668617562,-0.123258073233743,0.322419270449854,-0.38229127267042,0.702245327385644,0.825910175342395,"Not significant"
"TOP2A",10.718991742014,0.829721662867556,0.480532914918131,1.72666978079726,0.0842269858198151,0.221249601159722,"Not significant"
"TOP2B",55.7093441005678,0.569817737327384,0.243495626364187,2.34015594380792,0.0192756894894958,0.0820081536518842,"Not significant"
"TOP3A",11.4362351167787,-0.0381735629669921,0.287596514695842,-0.132733051397942,0.894404502892624,0.94515769189361,"Not significant"
"TOP3B",19.3934397442147,0.760752796146926,0.469071086878252,1.62182836978904,0.104840102170853,0.255098416851113,"Not significant"
"TOPBP1",12.713545275841,0.325316120542783,0.271959993639499,1.19619108748035,0.23162199806111,0.421395305855162,"Not significant"
"TOPORS",15.9311291879271,0.894101564638794,0.303025996673881,2.95057709388886,0.00317180877133432,0.0229992880694344,"Not significant"
"TOPORS_AS1",1.30943010481534,-0.100647290143453,0.478915830811809,-0.210156532042063,0.833545504327585,0.907907130213698,"Not significant"
